category,source,target,correlation
Negative,노인,치매,0.07887225980164775
Negative,노인,정부,-0.01680985759598429
Negative,노인,일자리,0.04246224558798153
Negative,노인,지원,-0.0034199575814029943
Negative,노인,환자,0.005814341741020586
Negative,노인,여성,-0.00014275980726303616
Negative,노인,한국,-0.0005454125059816657
Negative,노인,코로나,-0.00690275603239745
Negative,노인,사망,0.05250576963431274
Negative,노인,서울시,-0.008873670089282502
Negative,노인,서울,0.020536239263568085
Negative,노인,사설,-0.010616429397836056
Negative,노인,징역,-0.010549384667500538
Negative,노인,확대,-0.002633869909062034
Negative,노인,코로나19,-0.007914409644092464
Negative,노인,백신,0.00967029022540118
Negative,노인,위험,0.024347135668448806
Negative,노인,일본,-0.0008931620443070619
Negative,노인,증가,0.022143285287239665
Negative,노인,내년,-0.006222340769456189
Negative,노인,중국,-0.010039010412817065
Negative,노인,논란,-0.00424623672043883
Negative,노인,장애인,0.020111937209566402
Negative,노인,접종,0.012436420462306788
Negative,노인,노후,-0.009798532338391203
Negative,노인,경제,-0.012547693065540908
Negative,노인,최대,-0.005557323645604323
Negative,노인,재취업,-0.01667064134281092
Negative,노인,없는,-0.0094259595910091
Negative,노인,인구,9.158280888206465e-05
Negative,노인,고령화,0.002783463692132604
Negative,노인,위한,0.005216732350639177
Negative,노인,국민연금,-0.009060087043005184
Negative,노인,없다,-0.0042032814980644635
Negative,노인,80대,0.11489238339251684
Negative,노인,필요,0.0011574615035975777
Negative,노인,만에,0.014687731513087691
Negative,노인,70대,0.12069974047879264
Negative,노인,급증,0.033859023977604284
Negative,노인,건강,0.005584819297231203
Negative,노인,위해,-0.0006501453089902602
Negative,노인,안락사,-0.014718937315157679
Negative,노인,감소,-0.002885378372333586
Negative,노인,추진,-0.0022522433051624558
Negative,노인,단독,0.0008179370784928782
Negative,노인,청년,0.011562537913353502
Negative,노인,50대,0.0025788811150111585
Negative,노인,우려,-0.008146788417381584
Negative,노인,20대,0.01837949045414658
Negative,노인,이유,-0.005734179486343614
Negative,노인,경찰,0.01743008446206235
Negative,노인,예산,-0.005983659205663603
Negative,노인,확진,-0.004643508954569589
Negative,노인,저출산,-0.011121592639853791
Negative,노인,가족,0.004499072600242725
Negative,노인,국민,-0.010479168659857499
Negative,노인,치료,0.0031760181180854694
Negative,노인,10명,0.04487242026883661
Negative,노인,확진자,-0.010195327462273635
Negative,노인,검찰,-0.008340415827287817
Negative,노인,대책,-3.969257956783842e-05
Negative,노인,남성,0.00907656635872166
Negative,노인,요양병원,0.007241389560495762
Negative,노인,올해,-0.0061186446735222375
Negative,노인,인상,-0.0049508535086168455
Negative,노인,1명,0.04333567759918873
Negative,노인,사고,0.021590911301067463
Negative,노인,가장,0.0023201386419569397
Negative,노인,고용,0.002394230877580942
Negative,노인,기업,-0.012788872614340347
Negative,노인,정책,-0.00940610395690189
Negative,노인,60대,0.028389730986270467
Negative,노인,복지,0.003078848879198461
Negative,노인,늘어,0.0041157712300860525
Negative,노인,40대,-0.002061532307556052
Negative,노인,도입,-0.008787976854592683
Negative,노인,위기,-0.007663091118263135
Negative,노인,강화,-0.002209123519950326
Negative,노인,oecd,0.012190110011780001
Negative,노인,할머니,-0.009587764168696897
Negative,노인,아들,0.011079148437907377
Negative,노인,칼럼,-0.011026189404863954
Negative,노인,사망자,0.002232047773077376
Negative,노인,문제,-0.005862253318522237
Negative,노인,하루,0.0018625574123760937
Negative,노인,병원,0.006992859400683725
Negative,노인,감염,-0.0021206936685072867
Negative,노인,절반,0.011841943879071032
Negative,노인,없어,-0.002995293496324144
Negative,노인,개선,-0.002465126790690677
Negative,노인,추가,-0.004505350682033271
Negative,노인,시대,-0.0027649721788523306
Negative,노인,원인,5.295497397220304e-05
Negative,노인,취업,-0.0009938218981604754
Negative,노인,관리,-0.0014818118119552253
Negative,노인,미세먼지,-0.0067235513901277855
Negative,노인,실업급여,-0.011906035635137093
Negative,노인,효과,-0.007667403707705293
Negative,노인,운영,0.0007702281651556922
Negative,치매,노인,0.07887225980164776
Negative,치매,정부,-0.014941305484923088
Negative,치매,일자리,-0.0226984194925098
Negative,치매,지원,-0.0021722838467918585
Negative,치매,환자,0.0787567635912512
Negative,치매,여성,-0.004237564284730179
Negative,치매,한국,-0.01845842791061172
Negative,치매,코로나,-0.010394034006500885
Negative,치매,사망,0.0024901558197189364
Negative,치매,서울시,-0.012763083649814511
Negative,치매,서울,-0.01040563377375482
Negative,치매,사설,-0.014698121020300449
Negative,치매,징역,0.02380045668058603
Negative,치매,확대,-0.0017856502277361465
Negative,치매,코로나19,-0.0048738933501853016
Negative,치매,백신,-0.010839372617916341
Negative,치매,위험,0.12478292099461584
Negative,치매,일본,-0.007820075092628422
Negative,치매,증가,-0.0023732081021586725
Negative,치매,내년,-0.015369614189172981
Negative,치매,중국,-0.013418535413304641
Negative,치매,논란,-0.004194357255285459
Negative,치매,장애인,-0.006480314148373734
Negative,치매,접종,-0.01190266717537961
Negative,치매,노후,-0.0131458673971703
Negative,치매,경제,-0.014652860691046928
Negative,치매,최대,-0.0063673264128312115
Negative,치매,재취업,-0.015005328711325979
Negative,치매,없는,-0.006457099842843705
Negative,치매,인구,-0.012536158604341851
Negative,치매,고령화,-0.012187909258234476
Negative,치매,위한,-0.0013406155288951678
Negative,치매,국민연금,-0.014346889216661295
Negative,치매,없다,-0.006610362275943085
