category,word,score,sentiment
20,20대,87,Negative
20,징역,24,Negative
20,노인,22,Negative
20,여성,20,Negative
20,남성,17,Negative
20,70대,15,Negative
20,취업자,13,Negative
20,60대,12,Negative
20,시신,12,Negative
20,폭행한,11,Negative
20,냉장고에,10,Negative
20,아버지,10,Negative
20,일자리,10,Negative
20,실형,10,Negative
20,살해,10,Negative
20,50대,9,Negative
20,치매,9,Negative
20,구속,9,Negative
20,추월,9,Negative
20,80대,9,Negative
20,집행유예,9,Negative
20,환자,9,Negative
20,성폭행,9,Negative
20,취업,8,Negative
20,아들,8,Negative
20,성폭행한,8,Negative
20,가장,8,Negative
20,40대,7,Negative
20,무차별,7,Negative
20,성관계,7,Negative
20,급증,7,Negative
20,폭행,7,Negative
20,코로나,7,Negative
20,숨지게,7,Negative
20,60세,7,Negative
20,10,6,Negative
20,20대의,6,Negative
20,우울증,6,Negative
20,할머니,6,Negative
20,사망,6,Negative
20,구형,6,Negative
20,공무원,6,Negative
20,5년,6,Negative
20,선고,6,Negative
20,증가,6,Negative
20,장애인,5,Negative
20,살해한,5,Negative
20,검거,5,Negative
20,10대,5,Negative
20,9년,5,Negative
20,학대,5,Negative
20,2년,5,Negative
20,3년,5,Negative
20,일하는,5,Negative
20,혐의,5,Negative
20,청년,5,Negative
20,6개월,4,Negative
20,20대에,4,Negative
20,늘어,4,Negative
20,20대도,4,Negative
20,지난해,4,Negative
20,국회서,4,Negative
20,때린,4,Negative
20,감소,4,Negative
20,20대가,4,Negative
20,살인미수,4,Negative
20,20대는,4,Negative
20,앞질러,4,Negative
20,코로나19,4,Negative
20,성착취물,4,Negative
20,신생아,4,Negative
20,만난,4,Negative
20,징역형,4,Negative
20,체포,4,Negative
20,뺑소니,4,Negative
20,6년,3,Negative
20,사설,3,Negative
20,알바,3,Negative
20,버린,3,Negative
20,마구,3,Negative
20,많아,3,Negative
20,늘었다,3,Negative
20,보관한,3,Negative
20,자살,3,Negative
20,재추진,3,Negative
20,1명,3,Negative
20,12년,3,Negative
20,집유,3,Negative
20,사상,3,Negative
20,숨진,3,Negative
20,서울,3,Negative
20,20대부터,3,Negative
20,문재인,3,Negative
20,촬영한,3,Negative
20,폐지,3,Negative
20,한국,3,Negative
20,논란,3,Negative
20,경제활동인구,3,Negative
20,협박,3,Negative
20,찬밥,3,Negative
20,근로자,3,Negative
20,기소,3,Negative
20,유기한,3,Negative
20,유포,3,Negative
20,손자,3,Negative
20,치고,3,Negative
20,같은,3,Negative
20,고령화,3,Negative
20,협박해,3,Negative
20,엄마,3,Negative
20,60대가,3,Negative
20,냉장고,3,Negative
20,제자,3,Negative
20,호숫가에,3,Negative
20,질식사,3,Negative
20,정부,3,Negative
20,흉기로,2,Negative
20,지원,2,Negative
20,최저,2,Negative
20,여성이,2,Negative
20,동료,2,Negative
20,상습,2,Negative
20,추행한,2,Negative
20,2명,2,Negative
20,건물,2,Negative
20,사고,2,Negative
20,확정,2,Negative
20,줍던,2,Negative
20,미성년자,2,Negative
20,없다,2,Negative
20,청소년,2,Negative
20,교통사고,2,Negative
20,시도한,2,Negative
20,영상,2,Negative
20,후임병,2,Negative
20,가족,2,Negative
20,항소심서,2,Negative
20,20대보다,2,Negative
20,가슴,2,Negative
20,4년,2,Negative
20,처음으로,2,Negative
20,선택,2,Negative
20,송치,2,Negative
20,정황,2,Negative
20,지적장애,2,Negative
20,몰카,2,Negative
20,찬성,2,Negative
20,판매한,2,Negative
20,연속,2,Negative
20,아파트,2,Negative
20,많이,2,Negative
20,지하철,2,Negative
20,영향,2,Negative
20,n번방,2,Negative
20,영하,2,Negative
20,연인,2,Negative
20,사진,2,Negative
20,협박한,2,Negative
20,검찰,2,Negative
20,7년,2,Negative
20,많다,2,Negative
20,자녀,2,Negative
20,피해자,2,Negative
20,중형,2,Negative
20,역전,2,Negative
20,이유,2,Negative
20,음주운전,2,Negative
20,억지로,2,Negative
20,때리고,2,Negative
20,때려,2,Negative
20,1년,2,Negative
20,음란행위,2,Negative
20,30대,2,Negative
20,정신질환,2,Negative
20,대통령,2,Negative
20,전역,2,Negative
20,벌금형,2,Negative
20,3명,2,Negative
20,요구,2,Negative
20,출산,2,Negative
20,확진,2,Negative
20,협박편지,2,Negative
20,학대해,2,Negative
20,몰래,2,Negative
20,죽인,2,Negative
20,사회,2,Negative
20,그냥,2,Negative
20,이하,2,Negative
20,평균,2,Negative
20,했는데,2,Negative
20,클럽서,2,Negative
20,단독,2,Negative
20,2배,2,Negative
20,최다,2,Negative
20,초등생,2,Negative
20,34,2,Negative
20,창업,2,Negative
20,찍은,2,Negative
20,병실,2,Negative
20,절반,2,Negative
20,만취한,2,Negative
20,아동,2,Negative
20,건강,2,Negative
20,층간소음,2,Negative
20,유기,2,Negative
20,학대치사,2,Negative
20,미성년자에,2,Negative
20,높아,2,Negative
20,불법,2,Negative
20,감형,2,Negative
20,사라진,2,Negative
20,인구,2,Negative
20,음식,2,Negative
20,병원,2,Negative
20,여중생,2,Negative
20,투신,2,Negative
20,드러나,2,Negative
20,이대출신,2,Negative
20,벌금,2,Negative
20,군대,2,Negative
20,살인,2,Negative
20,유부녀,2,Negative
20,앞질렀다,2,Negative
20,윗집,2,Negative
20,성매매,2,Negative
20,60대이상,1,Negative
20,스마트폰,1,Negative
20,한국인,1,Negative
20,남자,1,Negative
20,유시민,1,Negative
20,세대,1,Negative
20,망막장애,1,Negative
30,30대,47,Negative
30,징역,15,Negative
30,20,13,Negative
30,여성,12,Negative
30,남성,8,Negative
30,노인,7,Negative
30,성폭행,5,Negative
30,일자리,5,Negative
30,실형,5,Negative
30,70대,5,Negative
30,숨지게,5,Negative
30,가장,5,Negative
30,살해,4,Negative
30,60대,4,Negative
30,30대는,4,Negative
30,4년,4,Negative
30,취업자,4,Negative
30,사망,4,Negative
30,성폭행한,4,Negative
30,30대부터,4,Negative
30,40대,4,Negative
30,구속,4,Negative
30,1명,3,Negative
30,10년,3,Negative
30,10대,3,Negative
30,집행유예,3,Negative
30,바르는,3,Negative
30,폭행,3,Negative
30,선고,3,Negative
30,50대,3,Negative
30,몰카,3,Negative
30,지적장애,3,Negative
30,80대,3,Negative
30,이유,3,Negative
30,이유는,3,Negative
30,급증,3,Negative
30,이하,3,Negative
30,감소,3,Negative
30,30대가,3,Negative
30,살해한,3,Negative
30,3명,3,Negative
30,7년,3,Negative
30,코로나,3,Negative
30,할머니,2,Negative
30,치매,2,Negative
30,감형,2,Negative
30,성관계,2,Negative
30,5년,2,Negative
