category,word,score
2013 ~ 2017,일자리,1384
2013 ~ 2017,노인,1313
2013 ~ 2017,한국,1275
2013 ~ 2017,치매,1142
2013 ~ 2017,환자,1004
2013 ~ 2017,정부,910
2013 ~ 2017,서울시,824
2013 ~ 2017,지원,764
2013 ~ 2017,고령화,746
2013 ~ 2017,일본,656
2013 ~ 2017,여성,645
2013 ~ 2017,건강,640
2013 ~ 2017,장애인,636
2013 ~ 2017,사설,601
2013 ~ 2017,증가,599
2013 ~ 2017,경제,554
2013 ~ 2017,국민연금,547
2013 ~ 2017,확대,521
2013 ~ 2017,저출산,510
2013 ~ 2017,중국,505
2013 ~ 2017,서울,497
2013 ~ 2017,급증,474
2013 ~ 2017,가장,439
2013 ~ 2017,대한민국,422
2013 ~ 2017,건강한,412
2013 ~ 2017,가족,409
2013 ~ 2017,독거노인,373
2013 ~ 2017,복지,369
2013 ~ 2017,사망,369
2013 ~ 2017,대통령,362
2013 ~ 2017,칼럼,360
2013 ~ 2017,기초연금,356
2013 ~ 2017,국민,347
2013 ~ 2017,봉사활동,332
2013 ~ 2017,효과,331
2013 ~ 2017,내년,328
2013 ~ 2017,10명,321
2013 ~ 2017,글로벌,316
2013 ~ 2017,노후,310
2013 ~ 2017,운영,308
2013 ~ 2017,청년,307
2013 ~ 2017,피부,306
2013 ~ 2017,어르신,300
2013 ~ 2017,안락사,297
2013 ~ 2017,실업급여,296
2013 ~ 2017,추진,294
2013 ~ 2017,한국인,286
2013 ~ 2017,단독,286
2013 ~ 2017,올해,283
2013 ~ 2017,한국경제,278
2013 ~ 2017,징역,277
2013 ~ 2017,할머니,271
2013 ~ 2017,전국,271
2013 ~ 2017,전달,270
2013 ~ 2017,건강보험,269
2013 ~ 2017,효능,266
2013 ~ 2017,남성,263
2013 ~ 2017,문제,261
2013 ~ 2017,공무원,257
2013 ~ 2017,절반,255
2013 ~ 2017,실시,252
2013 ~ 2017,서비스,249
2013 ~ 2017,경력단절,249
2013 ~ 2017,가능성,248
2013 ~ 2017,병원,246
2013 ~ 2017,만든다,245
2013 ~ 2017,치매환자,244
2013 ~ 2017,장관,244
2013 ~ 2017,정책,244
2013 ~ 2017,임플란트,244
2013 ~ 2017,발견,242
2013 ~ 2017,질환,242
2013 ~ 2017,성장률,241
2013 ~ 2017,인구,241
2013 ~ 2017,국내,239
2013 ~ 2017,선정,239
2013 ~ 2017,성장,238
2013 ~ 2017,사고,236
2013 ~ 2017,기업,236
2013 ~ 2017,만에,236
2013 ~ 2017,근로자,235
2013 ~ 2017,우울증,233
2013 ~ 2017,중장년,230
2013 ~ 2017,미세먼지,229
2013 ~ 2017,치료,229
2013 ~ 2017,모집,228
2013 ~ 2017,시대,228
2013 ~ 2017,경찰,227
2013 ~ 2017,직장인,226
2013 ~ 2017,평균,224
2013 ~ 2017,강화,224
2013 ~ 2017,가능,224
2013 ~ 2017,대상,222
2013 ~ 2017,논란,220
2013 ~ 2017,세월호,219
2013 ~ 2017,지난해,217
2013 ~ 2017,경기도,216
2013 ~ 2017,노인들,215
2013 ~ 2017,정년,214
2013 ~ 2017,적발,211
2013 ~ 2017,이유,211
2013 ~ 2017,관리,211
2013 ~ 2017,원전,209
2013 ~ 2017,알츠하이머,209
2013 ~ 2017,진료비,208
2013 ~ 2017,비정규직,207
2013 ~ 2017,인상,207
2013 ~ 2017,출시,206
2013 ~ 2017,작년,205
2013 ~ 2017,교통사고,205
2013 ~ 2017,원인,201
2013 ~ 2017,도입,199
2013 ~ 2017,10년,199
2013 ~ 2017,구조조정,198
2013 ~ 2017,사랑의,197
2013 ~ 2017,미국,196
2013 ~ 2017,프로그램,196
2013 ~ 2017,이유는,194
2013 ~ 2017,창출,193
2013 ~ 2017,아파트,193
2013 ~ 2017,겨울철,193
2013 ~ 2017,독감,193
2013 ~ 2017,기고,191
2013 ~ 2017,적용,191
2013 ~ 2017,행복한,191
2013 ~ 2017,경단녀,189
2013 ~ 2017,임금피크제,189
2013 ~ 2017,아니다,189
2013 ~ 2017,창업,189
2013 ~ 2017,갈등,188
2013 ~ 2017,50대,186
2013 ~ 2017,이주열,186
2013 ~ 2017,개발,186
2013 ~ 2017,복지부,186
2013 ~ 2017,감소,184
2013 ~ 2017,저성장,184
2013 ~ 2017,진행,184
2013 ~ 2017,건보,183
2013 ~ 2017,복지시설,183
2013 ~ 2017,결혼,182
2013 ~ 2017,백내장,182
2013 ~ 2017,화재,182
2013 ~ 2017,발표,182
2013 ~ 2017,다시,182
2013 ~ 2017,투자,181
2013 ~ 2017,저소득층,181
2013 ~ 2017,돌파,178
2013 ~ 2017,사망자,178
2013 ~ 2017,교수,178
2013 ~ 2017,부담,177
2013 ~ 2017,필요,177
2013 ~ 2017,파킨슨병,174
2013 ~ 2017,개선,174
2013 ~ 2017,지하철,173
2013 ~ 2017,시론,173
2013 ~ 2017,자녀,170
2013 ~ 2017,갱년기,169
2013 ~ 2017,법원,168
2013 ~ 2017,전망,168
2013 ~ 2017,김일곤,167
2013 ~ 2017,주의보,167
2013 ~ 2017,출산,166
2013 ~ 2017,확산,166
2013 ~ 2017,안전,165
2013 ~ 2017,하는,163
2013 ~ 2017,봉사,162
2013 ~ 2017,인터뷰,160
2013 ~ 2017,해결,158
2013 ~ 2017,내년부터,157
2013 ~ 2017,베이비부머,157
2013 ~ 2017,연장,156
2013 ~ 2017,의료비,156
2013 ~ 2017,20대,156
2013 ~ 2017,관절염,156
2013 ~ 2017,40대,156
2013 ~ 2017,오늘의,155
2013 ~ 2017,발생,153
2013 ~ 2017,다이어트,153
2013 ~ 2017,통증,153
2013 ~ 2017,전문가,153
2013 ~ 2017,아버지,152
2013 ~ 2017,인생,152
2013 ~ 2017,지급,150
2013 ~ 2017,하루,150
2013 ~ 2017,수술,150
2013 ~ 2017,무료,150
2013 ~ 2017,주목,149
2013 ~ 2017,집중,149
2013 ~ 2017,70대,148
2013 ~ 2017,책과,148
2013 ~ 2017,아들,146
2013 ~ 2017,소득,146
2013 ~ 2017,고령자,146
2013 ~ 2017,대책,146
2013 ~ 2017,문재인,146
2013 ~ 2017,치매노인,145
2013 ~ 2017,메르스,144
2013 ~ 2017,검찰,144
2013 ~ 2017,수준,143
2013 ~ 2017,마지막,143
2013 ~ 2017,자살,143
2013 ~ 2017,증상,143
2013 ~ 2017,구속,142
2013 ~ 2017,실종,142
2013 ~ 2017,연금,141
2013 ~ 2017,고용률,141
2013 ~ 2017,중요,141
2013 ~ 2017,걱정,140
2013 ~ 2017,미래,140
2013 ~ 2017,새로운,140
2013 ~ 2017,필요한,140
2013 ~ 2017,하반기,139
2013 ~ 2017,아베,139
2013 ~ 2017,수상,138
2013 ~ 2017,고혈압,138
2013 ~ 2017,대한,138
2013 ~ 2017,톡톡,138
2013 ~ 2017,진단,137
2013 ~ 2017,시작,137
2013 ~ 2017,나눔,137
2013 ~ 2017,현장,137
2013 ~ 2017,채용,137
2013 ~ 2017,척추관협착증,137
2013 ~ 2017,부모님,136
2013 ~ 2017,전문,136
2013 ~ 2017,숨져,136
2013 ~ 2017,국가,136
2013 ~ 2017,건강을,134
2013 ~ 2017,준비,133
2013 ~ 2017,원격의료,133
2013 ~ 2017,노화,132
2013 ~ 2017,아닌,132
2013 ~ 2017,정규직,132
2013 ~ 2017,역대,131
2013 ~ 2017,원장,130
2013 ~ 2017,조선업,130
2013 ~ 2017,고용,130
2013 ~ 2017,만들기,129
2013 ~ 2017,20년,129
2013 ~ 2017,한국의,129
2013 ~ 2017,경제성장률,129
2013 ~ 2017,10명중,129
2013 ~ 2017,노후준비,129
2013 ~ 2017,부족,128
2013 ~ 2017,김현주의,128
2013 ~ 2017,사각지대,128
2013 ~ 2017,캠페인,127
2013 ~ 2017,부모,127
2013 ~ 2017,제대로,127
2013 ~ 2017,이사장,127
2013 ~ 2017,어린이집,126
2013 ~ 2017,신격호,126
2013 ~ 2017,직원,126
2013 ~ 2017,프로젝트,126
2013 ~ 2017,사업,125
2013 ~ 2017,극복,125
2013 ~ 2017,만드는,125
2013 ~ 2017,경력단절여성,125
2013 ~ 2017,방법은,125
2013 ~ 2017,독일,125
2013 ~ 2017,지금,124
2013 ~ 2017,5년간,124
2013 ~ 2017,모든,124
2013 ~ 2017,방법,124
2013 ~ 2017,교육,122
2013 ~ 2017,시장,122
2013 ~ 2017,부작용,121
2013 ~ 2017,환절기,121
2013 ~ 2017,살해,120
2013 ~ 2017,7월부터,120
2013 ~ 2017,여름철,120
2013 ~ 2017,재정,120
2013 ~ 2017,위한,119
2013 ~ 2017,늘어,119
2013 ~ 2017,돕는,118
2013 ~ 2017,중년,118
2013 ~ 2017,3명,118
2013 ~ 2017,사상,117
2013 ~ 2017,사는,117
2013 ~ 2017,시진핑,117
2013 ~ 2017,도움,117
2013 ~ 2017,1명,117
2013 ~ 2017,트럼프,116
2013 ~ 2017,한은,116
2013 ~ 2017,활동,116
2013 ~ 2017,노동개혁,116
2013 ~ 2017,연구,116
2013 ~ 2017,남편,116
2013 ~ 2017,면역력,116
2013 ~ 2017,65세,115
2013 ~ 2017,인기,114
2013 ~ 2017,구조개혁,114
2013 ~ 2017,숨진,114
2013 ~ 2017,보건복지부,114
2013 ~ 2017,희망,114
2013 ~ 2017,죽음,114
2013 ~ 2017,기억력,113
2013 ~ 2017,청소년,113
2013 ~ 2017,나이,113
2013 ~ 2017,1인당,113
2013 ~ 2017,장성,113
2013 ~ 2017,연속,113
2013 ~ 2017,문화,113
2013 ~ 2017,기부,112
2013 ~ 2017,기준,112
2013 ~ 2017,마련,112
2013 ~ 2017,질병,112
2013 ~ 2017,노동시장,111
2013 ~ 2017,스트레스,111
2013 ~ 2017,건보료,111
2013 ~ 2017,출산율,111
2013 ~ 2017,검사,111
2013 ~ 2017,성공,111
2013 ~ 2017,제공,110
2013 ~ 2017,선택,109
2013 ~ 2017,임직원,109
2013 ~ 2017,충격,109
2013 ~ 2017,늘어나는,109
2013 ~ 2017,시간제,109
2013 ~ 2017,관절,109
2013 ~ 2017,투입,109
2013 ~ 2017,속으로,108
2013 ~ 2017,이브닝,108
2013 ~ 2017,먹으면,108
2013 ~ 2017,늘린다,107
2013 ~ 2017,확정,107
2013 ~ 2017,일하는,107
2013 ~ 2017,한다,107
2013 ~ 2017,가정,106
2013 ~ 2017,방문,106
2013 ~ 2017,심각,106
2013 ~ 2017,이재용,106
2013 ~ 2017,행복,105
2013 ~ 2017,전쟁,105
2013 ~ 2017,필요하다,105
2013 ~ 2017,4명,105
2013 ~ 2017,전환,104
2013 ~ 2017,시행,104
2013 ~ 2017,산다,104
2013 ~ 2017,공개,104
2013 ~ 2017,골다공증,104
2013 ~ 2017,운동,104
2013 ~ 2017,절반이,104
2013 ~ 2017,당신의,103
2013 ~ 2017,가구,103
2013 ~ 2017,유일호,103
2013 ~ 2017,상반기,103
2013 ~ 2017,아름다운,103
2013 ~ 2017,알고,103
2013 ~ 2017,지정,103
2013 ~ 2017,체결,102
2013 ~ 2017,보장,102
2013 ~ 2017,세상,102
2013 ~ 2017,조기,102
2013 ~ 2017,생활비,102
2013 ~ 2017,사람,101
2013 ~ 2017,폭염,100
2013 ~ 2017,자영업자,100
2013 ~ 2017,노년층,100
2013 ~ 2017,육아휴직,100
2013 ~ 2017,경기,100
2013 ~ 2017,관련,100
2013 ~ 2017,한국은,99
2013 ~ 2017,5년,99
2013 ~ 2017,선고,99
2013 ~ 2017,뉴스,99
2013 ~ 2017,봄철,99
2013 ~ 2017,시간선택제,98
2013 ~ 2017,결정,98
2013 ~ 2017,대기업,98
2013 ~ 2017,개최,98
2013 ~ 2017,잠재성장률,97
2013 ~ 2017,부산,97
2013 ~ 2017,보는,97
2013 ~ 2017,재산,97
2013 ~ 2017,중장년층,97
2013 ~ 2017,나는,96
2013 ~ 2017,적극,96
2013 ~ 2017,고민,96
2013 ~ 2017,검거,96
2013 ~ 2017,우려,96
2013 ~ 2017,총리,96
2013 ~ 2017,공공기관,96
2013 ~ 2017,효과적,96
2013 ~ 2017,육박,96
2013 ~ 2017,본격,96
2013 ~ 2017,발병,95
