category,word,score
2013 ~ 2017,노인,1422
2013 ~ 2017,치매,1312
2013 ~ 2017,일자리,987
2013 ~ 2017,한국,928
2013 ~ 2017,여성,769
2013 ~ 2017,지원,731
2013 ~ 2017,정부,726
2013 ~ 2017,위한,714
2013 ~ 2017,환자,685
2013 ~ 2017,건강,676
2013 ~ 2017,서울,643
2013 ~ 2017,사설,629
2013 ~ 2017,서울시,624
2013 ~ 2017,일본,601
2013 ~ 2017,개최,519
2013 ~ 2017,경제,514
2013 ~ 2017,중국,491
2013 ~ 2017,고령화,484
2013 ~ 2017,치료,471
2013 ~ 2017,장애인,471
2013 ~ 2017,증가,457
2013 ~ 2017,사망,453
2013 ~ 2017,확대,449
2013 ~ 2017,재취업,449
2013 ~ 2017,노후,436
2013 ~ 2017,피부,422
2013 ~ 2017,없는,407
2013 ~ 2017,급증,406
2013 ~ 2017,내년,405
2013 ~ 2017,세계,396
2013 ~ 2017,효과,395
2013 ~ 2017,가장,395
2013 ~ 2017,시대,394
2013 ~ 2017,국민연금,391
2013 ~ 2017,칼럼,385
2013 ~ 2017,없다,381
2013 ~ 2017,위해,378
2013 ~ 2017,위험,376
2013 ~ 2017,교수,373
2013 ~ 2017,이유,350
2013 ~ 2017,논란,347
2013 ~ 2017,필요,339
2013 ~ 2017,최대,338
2013 ~ 2017,실시,338
2013 ~ 2017,기업,337
2013 ~ 2017,저출산,332
2013 ~ 2017,좋은,329
2013 ~ 2017,가족,325
2013 ~ 2017,올해,325
2013 ~ 2017,출시,321
2013 ~ 2017,추진,317
2013 ~ 2017,복지,315
2013 ~ 2017,건강한,313
2013 ~ 2017,50대,309
2013 ~ 2017,운영,306
2013 ~ 2017,대한민국,306
2013 ~ 2017,청년,305
2013 ~ 2017,취업,304
2013 ~ 2017,국민,303
2013 ~ 2017,대통령,293
2013 ~ 2017,예방,292
2013 ~ 2017,어르신,287
2013 ~ 2017,사회,287
2013 ~ 2017,만에,286
2013 ~ 2017,70대,285
2013 ~ 2017,효능,283
2013 ~ 2017,대상,278
2013 ~ 2017,원인,274
2013 ~ 2017,있는,274
2013 ~ 2017,인구,274
2013 ~ 2017,사고,267
2013 ~ 2017,전달,266
2013 ~ 2017,글로벌,266
2013 ~ 2017,독거노인,265
2013 ~ 2017,기초연금,265
2013 ~ 2017,선정,263
2013 ~ 2017,모집,263
2013 ~ 2017,도입,261
2013 ~ 2017,봉사활동,261
2013 ~ 2017,개선,261
2013 ~ 2017,다시,260
2013 ~ 2017,성장,260
2013 ~ 2017,관리,260
2013 ~ 2017,남성,257
2013 ~ 2017,대책,256
2013 ~ 2017,정책,254
2013 ~ 2017,인상,250
2013 ~ 2017,강화,250
2013 ~ 2017,창출,248
2013 ~ 2017,미국,247
2013 ~ 2017,회장,247
2013 ~ 2017,문제,246
2013 ~ 2017,oecd,245
2013 ~ 2017,최고,244
2013 ~ 2017,미래,244
2013 ~ 2017,단독,243
2013 ~ 2017,예산,241
2013 ~ 2017,10명,240
2013 ~ 2017,하루,240
2013 ~ 2017,가능,238
2013 ~ 2017,안락사,238
2013 ~ 2017,국내,237
2013 ~ 2017,징역,233
2013 ~ 2017,창업,231
2013 ~ 2017,장관,230
2013 ~ 2017,수술,230
2013 ~ 2017,1명,228
2013 ~ 2017,기고,228
2013 ~ 2017,해결,227
2013 ~ 2017,전국,226
2013 ~ 2017,대표,225
2013 ~ 2017,병원,224
2013 ~ 2017,맞춤형,223
2013 ~ 2017,할머니,223
2013 ~ 2017,아닌,221
2013 ~ 2017,우려,220
2013 ~ 2017,늘어,220
2013 ~ 2017,60대,218
2013 ~ 2017,위기,215
2013 ~ 2017,노화,213
2013 ~ 2017,실업급여,213
2013 ~ 2017,한국인,212
2013 ~ 2017,발표,211
2013 ~ 2017,10년,211
2013 ~ 2017,채용,211
2013 ~ 2017,경찰,211
2013 ~ 2017,무료,210
2013 ~ 2017,인생,210
2013 ~ 2017,아베,210
2013 ~ 2017,한국경제,208
2013 ~ 2017,평균,207
2013 ~ 2017,1위,206
2013 ~ 2017,만든다,206
2013 ~ 2017,은퇴,206
2013 ~ 2017,20대,206
2013 ~ 2017,서비스,204
2013 ~ 2017,vs,204
2013 ~ 2017,감소,202
2013 ~ 2017,공무원,202
2013 ~ 2017,아들,201
2013 ~ 2017,삶의,201
2013 ~ 2017,개발,201
2013 ~ 2017,부담,200
2013 ~ 2017,하는,200
2013 ~ 2017,수상,199
2013 ~ 2017,없어,199
2013 ~ 2017,사람,198
2013 ~ 2017,요양병원,198
2013 ~ 2017,80대,198
2013 ~ 2017,원전,198
2013 ~ 2017,질환,198
2013 ~ 2017,아니다,198
2013 ~ 2017,절반,196
2013 ~ 2017,메르스,195
2013 ~ 2017,65세,193
2013 ~ 2017,아파트,193
2013 ~ 2017,세대,192
2013 ~ 2017,40대,191
2013 ~ 2017,인기,190
2013 ~ 2017,발견,190
2013 ~ 2017,건강보험,190
2013 ~ 2017,대한,189
2013 ~ 2017,시론,188
2013 ~ 2017,성장률,188
2013 ~ 2017,가능성,184
2013 ~ 2017,투자,184
2013 ~ 2017,갈등,183
2013 ~ 2017,적발,183
2013 ~ 2017,진행,182
2013 ~ 2017,돌파,181
2013 ~ 2017,세월호,181
2013 ~ 2017,총리,181
2013 ~ 2017,사랑의,180
2013 ~ 2017,사회적,180
2013 ~ 2017,미세먼지,179
2013 ~ 2017,노인들,179
2013 ~ 2017,치매환자,179
2013 ~ 2017,중요,179
2013 ~ 2017,우울증,178
2013 ~ 2017,고용,178
2013 ~ 2017,나이,177
2013 ~ 2017,자외선,177
2013 ~ 2017,나눔,177
2013 ~ 2017,책과,176
2013 ~ 2017,적용,175
2013 ~ 2017,이유는,175
2013 ~ 2017,넘어,174
2013 ~ 2017,임플란트,173
2013 ~ 2017,높아,173
2013 ~ 2017,경기도,173
2013 ~ 2017,희망,172
2013 ~ 2017,직장인,171
2013 ~ 2017,지급,170
2013 ~ 2017,교육,170
2013 ~ 2017,중장년,169
2013 ~ 2017,사업,168
2013 ~ 2017,근로자,167
2013 ~ 2017,봉사,167
2013 ~ 2017,화재,165
2013 ~ 2017,시장,165
2013 ~ 2017,건보,165
2013 ~ 2017,있어,165
2013 ~ 2017,검거,165
2013 ~ 2017,통증,165
2013 ~ 2017,경력단절,165
2013 ~ 2017,20년,164
2013 ~ 2017,시행,164
2013 ~ 2017,독감,164
2013 ~ 2017,지금,164
2013 ~ 2017,사상,163
2013 ~ 2017,젊은,163
2013 ~ 2017,도움,163
2013 ~ 2017,통해,163
2013 ~ 2017,겨울철,163
2013 ~ 2017,주목,163
2013 ~ 2017,부모,163
2013 ~ 2017,오늘의,162
2013 ~ 2017,위안부,162
2013 ~ 2017,인터뷰,162
2013 ~ 2017,이야기,162
2013 ~ 2017,5년,161
2013 ~ 2017,모든,161
2013 ~ 2017,정년,161
2013 ~ 2017,60세,160
2013 ~ 2017,자녀,160
2013 ~ 2017,많이,160
2013 ~ 2017,뉴스,160
2013 ~ 2017,지난해,160
2013 ~ 2017,행복한,159
2013 ~ 2017,작년,159
2013 ~ 2017,연금,159
2013 ~ 2017,공개,158
2013 ~ 2017,결혼,158
2013 ~ 2017,프로그램,158
2013 ~ 2017,의료비,156
2013 ~ 2017,없이,156
2013 ~ 2017,세상,156
2013 ~ 2017,기부,155
2013 ~ 2017,증상,155
2013 ~ 2017,검찰,155
2013 ~ 2017,이후,155
2013 ~ 2017,의사,154
2013 ~ 2017,진료비,154
2013 ~ 2017,소득,153
2013 ~ 2017,알츠하이머,153
2013 ~ 2017,안전,153
2013 ~ 2017,출산,152
2013 ~ 2017,구조조정,152
2013 ~ 2017,비정규직,150
2013 ~ 2017,성공,150
2013 ~ 2017,저성장,149
2013 ~ 2017,지하철,149
2013 ~ 2017,주의보,149
2013 ~ 2017,많아,149
2013 ~ 2017,법원,149
2013 ~ 2017,시작,149
2013 ~ 2017,교통사고,148
2013 ~ 2017,전문,148
2013 ~ 2017,경단녀,147
2013 ~ 2017,2017,146
2013 ~ 2017,확산,146
2013 ~ 2017,대비,146
2013 ~ 2017,3명,146
2013 ~ 2017,발생,146
2013 ~ 2017,복지부,146
2013 ~ 2017,않는,146
2013 ~ 2017,혜택,146
2013 ~ 2017,국가,146
2013 ~ 2017,자살,145
2013 ~ 2017,구속,145
2013 ~ 2017,나는,145
2013 ~ 2017,부부,144
2013 ~ 2017,전망,142
2013 ~ 2017,1년,141
2013 ~ 2017,백내장,141
2013 ~ 2017,따뜻한,141
2013 ~ 2017,필수,140
2013 ~ 2017,한은,140
2013 ~ 2017,30대,139
2013 ~ 2017,걱정,139
2013 ~ 2017,투입,138
2013 ~ 2017,복지시설,138
2013 ~ 2017,보니,138
2013 ~ 2017,살해,137
2013 ~ 2017,사는,137
2013 ~ 2017,많은,136
2013 ~ 2017,마련,136
2013 ~ 2017,원장,135
2013 ~ 2017,파킨슨병,135
2013 ~ 2017,찾아가는,135
2013 ~ 2017,수준,134
2018 ~ 2023,치매,1689
2018 ~ 2023,노인,1643
2018 ~ 2023,코로나,1318
2018 ~ 2023,일자리,1253
2018 ~ 2023,지원,1237
2018 ~ 2023,정부,1128
2018 ~ 2023,한국,988
2018 ~ 2023,서울시,935
2018 ~ 2023,코로나19,930
2018 ~ 2023,여성,926
2018 ~ 2023,서울,897
2018 ~ 2023,백신,832
2018 ~ 2023,환자,819
2018 ~ 2023,사망,815
2018 ~ 2023,위한,763
2018 ~ 2023,확대,722
2018 ~ 2023,중국,688
2018 ~ 2023,위험,678
2018 ~ 2023,장애인,668
2018 ~ 2023,일본,648
2018 ~ 2023,가족,646
2018 ~ 2023,사설,640
2018 ~ 2023,건강,634
2018 ~ 2023,접종,627
2018 ~ 2023,징역,619
2018 ~ 2023,경제,618
2018 ~ 2023,인구,599
2018 ~ 2023,만에,583
2018 ~ 2023,없는,572
2018 ~ 2023,최대,561
2018 ~ 2023,이유,559
2018 ~ 2023,내년,556
2018 ~ 2023,시대,555
2018 ~ 2023,세계,544
2018 ~ 2023,증가,541
2018 ~ 2023,칼럼,540
2018 ~ 2023,청년,534
2018 ~ 2023,개최,524
2018 ~ 2023,없다,504
2018 ~ 2023,국내,503
2018 ~ 2023,확진,498
2018 ~ 2023,위해,497
2018 ~ 2023,안락사,497
2018 ~ 2023,추진,493
2018 ~ 2023,논란,478
2018 ~ 2023,다시,475
2018 ~ 2023,확진자,474
2018 ~ 2023,올해,473
2018 ~ 2023,재취업,470
2018 ~ 2023,노후,457
2018 ~ 2023,필요,453
2018 ~ 2023,건강한,451
2018 ~ 2023,고령화,449
2018 ~ 2023,저출산,447
2018 ~ 2023,가장,442
2018 ~ 2023,할머니,440
2018 ~ 2023,단독,439
2018 ~ 2023,치료,437
2018 ~ 2023,20대,429
2018 ~ 2023,운영,427
2018 ~ 2023,어르신,418
2018 ~ 2023,80대,414
2018 ~ 2023,마스크,412
2018 ~ 2023,감소,409
2018 ~ 2023,모집,407
2018 ~ 2023,기업,398
2018 ~ 2023,70대,393
2018 ~ 2023,개선,393
2018 ~ 2023,국민,388
2018 ~ 2023,검찰,387
2018 ~ 2023,국민연금,383
2018 ~ 2023,강화,381
2018 ~ 2023,대표,380
2018 ~ 2023,위기,379
2018 ~ 2023,경찰,376
2018 ~ 2023,기고,375
2018 ~ 2023,대통령,363
2018 ~ 2023,대상,361
2018 ~ 2023,효과,360
2018 ~ 2023,교수,359
2018 ~ 2023,10명,358
2018 ~ 2023,아닌,357
2018 ~ 2023,정책,357
2018 ~ 2023,전두환,356
2018 ~ 2023,예산,355
2018 ~ 2023,사업,348
2018 ~ 2023,감염,347
2018 ~ 2023,우려,346
2018 ~ 2023,미세먼지,346
2018 ~ 2023,vs,344
2018 ~ 2023,미국,343
2018 ~ 2023,oecd,341
2018 ~ 2023,고용,341
2018 ~ 2023,하루,340
2018 ~ 2023,사망자,339
2018 ~ 2023,사회,338
2018 ~ 2023,남성,337
2018 ~ 2023,시작,332
2018 ~ 2023,선정,332
2018 ~ 2023,돌봄,330
2018 ~ 2023,있는,330
2018 ~ 2023,급증,330
2018 ~ 2023,50대,326
2018 ~ 2023,추가,325
2018 ~ 2023,복지,324
2018 ~ 2023,역대,324
2018 ~ 2023,개발,324
2018 ~ 2023,글로벌,322
2018 ~ 2023,도입,321
2018 ~ 2023,늘어,320
2018 ~ 2023,갈등,319
2018 ~ 2023,서비스,318
2018 ~ 2023,40대,316
2018 ~ 2023,요양병원,314
2018 ~ 2023,문제,313
2018 ~ 2023,장관,313
2018 ~ 2023,기부,312
2018 ~ 2023,없어,309
2018 ~ 2023,60대,308
2018 ~ 2023,전국,308
2018 ~ 2023,취업,306
2018 ~ 2023,10년,304
2018 ~ 2023,가능,303
2018 ~ 2023,신규,300
