category,word,score
Negative,치매,8604
Negative,코로나,6773
Negative,일자리,5817
Negative,여성,5401
Negative,지원,5342
Negative,정부,5075
Negative,환자,4493
Negative,확대,3759
Negative,내년,3716
Negative,코로나19,3647
Negative,위험,3570
Negative,경제,3503
Negative,고령화,3328
Negative,노후,3273
Negative,국민,3140
Negative,논란,2877
Negative,장애인,2794
Negative,백신,2778
Negative,징역,2775
Negative,고용,2670
Negative,가족,2505
Negative,증가,2434
Negative,최대,2333
Negative,복지,2320
Negative,청년,2235
Negative,인구,2233
Negative,남성,2216
Negative,사회,2187
Negative,중국,2178
Negative,우려,2124
Negative,재취업,2107
Negative,서울시,2088
Negative,사설,2032
Negative,80대,2021
Negative,강화,2019
Negative,절반,1989
Negative,저출산,1985
Negative,국민연금,1983
Negative,10명,1962
Negative,검찰,1961
Negative,안락사,1953
Negative,70대,1904
Negative,도입,1903
Negative,개선,1871
Negative,경찰,1868
Negative,올해,1818
Negative,추진,1814
Negative,20대,1795
Negative,살해,1790
Negative,인상,1774
Negative,50대,1736
Negative,관리,1680
Negative,할머니,1679
Negative,성폭행,1676
Negative,정책,1661
Negative,국가,1660
Negative,안전,1659
Negative,추가,1657
Negative,부족,1649
Negative,칼럼,1625
Negative,시작,1622
Negative,성장,1591
Negative,사고,1564
Negative,의료,1539
Negative,출산,1535
Negative,요양,1526
Negative,65세,1462
Negative,해결,1452
Negative,대통령,1446
Negative,60대,1436
Negative,미세먼지,1426
Negative,시대,1423
Negative,사람,1419
Negative,부담,1419
Negative,40대,1398
Negative,폭행,1382
Negative,피부,1380
Negative,화재,1379
Negative,구속,1360
Negative,공무원,1353
Negative,어르신,1346
Negative,폐지,1346
Negative,공공,1344
Negative,발견,1321
Negative,발생,1313
Negative,갈등,1312
Negative,아들,1297
Negative,위기,1289
Negative,심각,1257
Negative,가장,1248
Negative,연장,1247
Negative,5년,1241
Negative,추락,1237
Negative,독감,1236
Negative,작년,1227
Negative,오늘,1222
Negative,수사,1220
Negative,적용,1210
Negative,투자,1206
Negative,연금,1196
Negative,지급,1189
Negative,수술,1186
Negative,채용,1177
Negative,검토,1172
Negative,건보,1172
Negative,직원,1172
Negative,불안,1171
Negative,세대,1159
Negative,기고,1151
Negative,검사,1149
Negative,단독,1148
Negative,의심,1142
Negative,독거노인,1126
Negative,자녀,1126
Negative,뉴스,1123
Negative,발표,1123
Negative,투입,1118
Negative,지난해,1102
Negative,장기,1079
Negative,기초,1079
Negative,oecd,1078
Negative,마스크,1075
Negative,시급,1060
Negative,아베,1060
Negative,추경,1058
Negative,선고,1051
Negative,최악,1050
Negative,무료,1046
Negative,최저,1039
Negative,실시,1037
Negative,불법,1036
Negative,교수,1032
Negative,부모,1026
Negative,진료,1024
Negative,남편,1015
Negative,마련,1014
Negative,계속,1007
Negative,시행,1003
Negative,케어,982
Negative,외국인,981
Negative,3년,976
Negative,공정위,976
Negative,집단감염,975
Negative,중단,973
Negative,우울증,971
Negative,유지,958
Negative,수도,958
Negative,의혹,957
Negative,허용,955
Negative,대표,950
Negative,구조,945
Negative,기초연금,944
Negative,현대,928
Negative,노인들,926
Negative,돌봄,920
Negative,의사,918
Negative,중요,918
Negative,위협,915
Negative,적발,910
Negative,집중,906
Negative,사회적,898
Negative,걱정,897
Negative,미국,893
Negative,취약계층,886
Negative,엄마,883
Negative,취약,872
Negative,금융,870
Negative,실업급여,867
Negative,트럼프,864
Negative,삼성,864
Negative,결정,863
Negative,성장률,863
Negative,선택,858
Negative,총리,854
Negative,완화,851
Negative,치매환자,843
Negative,근로자,841
Negative,미세,834
Negative,교육,827
Negative,준비,818
Negative,공개,818
Negative,치매노인,814
Negative,글로벌,813
Negative,30대,811
Negative,어린이,810
Negative,60세,804
Negative,회장,803
Negative,서비스,801
Negative,공정,800
Negative,최저임금,797
Negative,진단,793
Negative,장관,792
Negative,교통사고,789
Negative,개혁,787
Negative,비정규직,777
Negative,운동,777
Negative,아동,774
Negative,개발,774
Negative,구형,772
Negative,붕괴,772
Negative,집행유예,771
Negative,복지부,760
Negative,정신,757
Negative,확정,754
Negative,요구,750
Negative,고령자,750
Negative,의료비,746
Negative,악화,746
Negative,검거,739
Negative,해소,736
Negative,규제,733
Negative,윤석열,726
Negative,창출,726
Negative,원전,724
Negative,미래,723
Negative,구조조정,721
Negative,진료비,719
Negative,창업,715
Negative,노동자,712
Negative,빈곤,710
Negative,건강보험,706
Negative,ai,705
Negative,임플란트,705
Negative,통증,701
Negative,확보,698
Negative,출산율,696
Negative,7월,695
Negative,세금,691
Negative,나이,691
Negative,강제,686
Negative,얼굴,684
Negative,개편,684
Negative,생각,681
Negative,조사,681
Negative,반대,680
Negative,유발,665
Negative,정치,662
Negative,방역,655
Negative,고혈압,652
Negative,교체,648
Negative,종합,646
Negative,아버지,643
Negative,안락,638
Negative,현실,637
Negative,백내장,635
Negative,저소득층,634
Negative,산업,633
Negative,피해자,633
Negative,제한,630
Negative,겨울,629
Negative,사각지대,629
Negative,복지시설,622
Negative,연속,620
Negative,경단녀,617
Negative,전문가,617
Negative,숨지게,614
Negative,박소연,613
Negative,충격,612
Negative,간병,610
Negative,알츠하이머,609
Negative,차량,608
Negative,잘못,608
Negative,한국경제,608
Negative,금지,605
Negative,성공,603
Negative,가구,601
Negative,시민,599
Negative,보장,597
Negative,속도,590
Negative,뇌졸중,590
Negative,너무,585
Negative,비판,584
Negative,메르스,582
Negative,동물,575
Negative,퇴직자,572
Negative,참사,571
Negative,차별,568
Negative,제공,563
Negative,세상,562
Negative,추월,560
Negative,이주열,557
Negative,25,551
Negative,요양보호사,551
Negative,포기,550
Negative,맞춤형,549
Negative,무릎,545
Negative,비정,542
Negative,반발,537
Negative,분노,535
Negative,활용,535
Negative,거리,534
Negative,정규직,533
Negative,파업,532
Negative,70세,530
Negative,중장년,530
Negative,진행,530
Negative,고령층,529
Negative,허리,529
Negative,경력단절,527
Negative,입원,523
Negative,임금피크제,519
Negative,30년,519
Negative,심화,518
Negative,중년,517
Negative,만성,517
Negative,실패,516
Negative,내일,514
Negative,영상,514
Negative,비리,511
Negative,건설,509
Negative,육박,503
Negative,거부,502
Negative,체포,501
Negative,간호,500
Negative,의무화,497
Negative,추석,495
Negative,무죄,494
Negative,섭취,494
Negative,많이,494
Negative,조선업,493
Negative,편성,492
Negative,누가,491
Negative,판매,489
Negative,관절,489
Negative,혁신,487
Negative,노인일자리,486
Negative,수도권,485
Negative,스트레스,484
Negative,극복,484
Negative,모집,476
