category,word,score
Negative,노인,2436
Negative,치매,2077
Negative,정부,1528
Negative,일자리,1498
Negative,지원,1341
Negative,한국,1123
Negative,환자,1098
Negative,코로나,1095
Negative,여성,1082
Negative,서울시,1063
Negative,서울,1045
Negative,사설,1037
Negative,사망,1006
Negative,일본,866
Negative,확대,863
Negative,위험,813
Negative,중국,813
Negative,코로나19,785
Negative,징역,779
Negative,백신,769
Negative,논란,761
Negative,내년,737
Negative,증가,732
Negative,장애인,728
Negative,없는,725
Negative,경제,715
Negative,없다,689
Negative,노후,687
Negative,위한,686
Negative,재취업,673
Negative,국민연금,673
Negative,최대,640
Negative,접종,639
Negative,건강,635
Negative,인구,629
Negative,이유,596
Negative,고령화,594
Negative,필요,587
Negative,단독,586
Negative,위해,585
Negative,급증,584
Negative,70대,576
Negative,만에,570
Negative,안락사,568
Negative,추진,567
Negative,청년,558
Negative,80대,539
Negative,칼럼,533
Negative,치료,527
Negative,감소,526
Negative,우려,525
Negative,20대,518
Negative,경찰,515
Negative,예산,514
Negative,50대,514
Negative,가족,513
Negative,저출산,497
Negative,국민,483
Negative,사고,483
Negative,검찰,474
Negative,도입,469
Negative,대책,467
Negative,기업,465
Negative,확진,463
Negative,가장,463
Negative,복지,457
Negative,인상,456
Negative,vs,456
Negative,올해,454
Negative,요양병원,453
Negative,남성,450
Negative,위기,450
Negative,확진자,448
Negative,정책,445
Negative,할머니,438
Negative,60대,430
Negative,10명,429
Negative,강화,428
Negative,운영,426
Negative,늘어,425
Negative,40대,422
Negative,문제,421
Negative,시대,418
Negative,하루,418
Negative,고용,417
Negative,없어,409
Negative,병원,408
Negative,미세먼지,407
Negative,1명,404
Negative,실업급여,404
Negative,개선,403
Negative,원인,401
Negative,아파트,399
Negative,효과,390
Negative,관리,389
Negative,oecd,389
Negative,기초연금,388
Negative,다시,387
Negative,대통령,386
Negative,취업,386
Negative,마스크,386
Negative,아닌,385
Negative,절반,385
Negative,아들,382
Negative,어르신,376
Negative,미국,371
Negative,감염,361
Negative,갈등,359
Negative,추가,359
Negative,세계,355
Negative,법원,355
Negative,아니다,355
Negative,사망자,354
Negative,정년,350
Negative,부담,349
Negative,공무원,348
Negative,전두환,346
Negative,지급,343
Negative,대상,342
Negative,기고,341
Negative,65세,339
Negative,건보,335
Negative,국내,335
Negative,가능,334
Negative,확산,333
Negative,검사,332
Negative,화재,328
Negative,수사,326
Negative,독거노인,326
Negative,성장률,326
Negative,1년,325
Negative,폐지,325
Negative,시작,324
Negative,의혹,323
Negative,구속,322
Negative,예방,315
Negative,사업,314
Negative,취업자,313
Negative,숨져,313
Negative,3명,313
Negative,투자,311
Negative,대표,311
Negative,성장,310
Negative,이후,310
Negative,적용,310
Negative,의사,309
Negative,가능성,309
Negative,아베,309
Negative,지하철,309
Negative,성폭행,307
Negative,2명,306
Negative,연장,306
Negative,검토,306
Negative,우울증,306
Negative,피해,305
Negative,이유는,305
Negative,발표,305
Negative,발견,305
Negative,10년,304
Negative,노조,303
Negative,사회,303
Negative,30대,301
Negative,질환,301
Negative,사람,298
Negative,직원,297
Negative,대신,297
Negative,연금,296
Negative,작년,296
Negative,부족,296
Negative,실시,296
Negative,평균,296
Negative,피부,295
Negative,외국인,294
Negative,최저임금,293
Negative,지난해,293
Negative,소득,292
Negative,수술,292
Negative,발생,290
Negative,혐의,290
Negative,원전,289
Negative,재정,288
Negative,역대,287
Negative,적발,287
Negative,2년,285
Negative,넘어,284
Negative,서비스,282
Negative,교수,282
Negative,노인들,282
Negative,건강보험,282
Negative,투입,281
Negative,채용,281
Negative,신규,281
Negative,독감,280
Negative,사상,280
Negative,추락,279
Negative,2배,278
Negative,건강한,277
Negative,케어,276
Negative,전국,276
Negative,자녀,274
Negative,트럼프,273
Negative,만든다,273
Negative,장관,272
Negative,살해,268
Negative,시행,268
Negative,없이,268
Negative,5년,267
Negative,출산,267
Negative,근로자,266
Negative,추경,263
Negative,사건,261
Negative,집단감염,261
Negative,총리,260
Negative,결혼,259
Negative,수도,259
Negative,무료,256
Negative,전달,256
Negative,복지부,255
Negative,대비,254
Negative,공정위,254
Negative,있는,254
Negative,해결,254
Negative,개발,253
Negative,치매환자,253
Negative,회장,253
Negative,안돼,253
Negative,1위,252
Negative,부모,251
Negative,실종,251
Negative,아내,250
Negative,선고,250
Negative,최저,249
Negative,4명,249
Negative,기준,248
Negative,나이,245
Negative,사회적,244
Negative,실형,244
Negative,윤석열,244
Negative,인천,243
Negative,받는다,243
Negative,안전,242
Negative,한국인,242
Negative,증상,241
Negative,세대,240
Negative,모든,240
Negative,높아,239
Negative,심각,239
Negative,경고,239
Negative,남편,239
Negative,폭행,239
Negative,글로벌,238
Negative,출산율,238
Negative,대응,238
Negative,비상,237
Negative,고령자,237
Negative,의료비,236
Negative,불법,236
Negative,국가,235
Negative,허용,235
Negative,재판,235
Negative,비정규직,235
Negative,3년,234
Negative,60세,234
Negative,통증,233
Negative,하는,233
Negative,취약계층,231
Negative,임금,231
Negative,돌봄,231
Negative,못해,230
Negative,치매노인,228
Negative,많이,228
Negative,전망,226
Negative,수도권,226
Negative,학대,225
Negative,공개,224
Negative,마련,224
Negative,중단,224
Negative,기부,224
Negative,너무,224
Negative,집행유예,223
Negative,수준,222
Negative,가구,222
Negative,진료비,222
Negative,영향,221
Negative,숨진,221
Negative,20년,221
Negative,교통사고,221
Negative,복지시설,220
Negative,시급,219
Negative,유지,219
Negative,퇴직,219
Negative,오늘,219
Negative,전환,218
Negative,모집,218
Negative,임플란트,217
Negative,직장인,217
Negative,창업,217
Negative,검거,216
Negative,결정,215
Negative,30,215
Negative,경단녀,215
Negative,혜택,214
Negative,시론,214
Positive,치매,923
Positive,한국,797
Positive,위한,761
Positive,일자리,755
Positive,개최,755
Positive,지원,640
Positive,건강,638
Positive,여성,602
Positive,노인,601
Positive,세계,541
Positive,시대,490
Positive,서울,486
Positive,서울시,473
Positive,건강한,444
Positive,선정,443
Positive,가족,432
Positive,교수,424
Positive,경제,410
Positive,장애인,405
Positive,수상,400
Positive,국내,398
Positive,환자,393
Positive,칼럼,393
Positive,모집,392
Positive,출시,391
Positive,일본,380
Positive,치료,377
Positive,가장,363
Positive,대한민국,362
Positive,좋은,362
Positive,최고,355
Positive,중국,354
Positive,효과,346
Positive,다시,343
Positive,고령화,341
Positive,올해,340
Positive,있는,332
Positive,글로벌,327
Positive,어르신,324
Positive,인생,322
Positive,피부,320
Positive,창출,313
Positive,미래,312
Positive,전달,310
Positive,운영,310
Positive,확대,308
Positive,이유,306
Positive,만에,303
Positive,사회,303
Positive,대상,299
Positive,봉사활동,299
Positive,정부,298
Positive,코로나,293
Positive,위해,292
Positive,삶의,291
Positive,맞춤형,288
Positive,저출산,279
Positive,대표,278
Positive,대통령,277
Positive,청년,273
Positive,실시,273
Positive,오늘의,271
Positive,증가,263
Positive,장관,262
Positive,진행,261
Positive,없는,261
Positive,기업,260
Positive,전국,259
Positive,나눔,258
Positive,개발,257
Positive,최대,256
Positive,이야기,253
Positive,사망,252
Positive,기고,250
Positive,개선,247
Positive,세상,247
Positive,재취업,247
Positive,예방,246
Positive,추진,245
Positive,행복한,244
Positive,기부,242
Positive,인구,242
Positive,서비스,241
Positive,사회적,235
Positive,새로운,233
Positive,책과,231
Positive,1위,229
Positive,사랑의,229
Positive,위험,227
Positive,돌파,226
Positive,알츠하이머,226
Positive,할머니,224
Positive,내년,224
Positive,회장,221
Positive,취업,217
Positive,통해,216
Positive,효능,215
Positive,봉사,215
Positive,미국,214
Positive,가능,213
Positive,사설,212
Positive,희망,207
Positive,10년,207
Positive,지금,207
Positive,국민,206
Positive,성장,206
Positive,사업,206
Positive,최초,204
Positive,필요,203
Positive,따뜻한,202
Positive,세대,202
Positive,창업,202
Positive,찾아가는,201
Positive,발표,201
Positive,강화,200
Positive,코로나19,199
Positive,성공,199
Positive,oecd,195
Positive,시장,193
Positive,주목,192
Positive,도움,192
Positive,죽음,192
Positive,인터뷰,191
Positive,대한,191
Positive,마지막,189
Positive,없다,189
Positive,아닌,189
Positive,중장년,188
Positive,인기,188
Positive,프로그램,187
Positive,사람,185
