Topic Number,제목_Origin
1,"세계 최장수 국가 日, “60대엔 일하고 연금은 70대부터” 고령사회대책 보니"
1,"""일할 수 있을 때까지 "" 불안한 노후에 '60대 정년'은 대세"
1,"103세 노모 돌보다 생일 전날 쓰러진 60대, 4명에 '새 삶'"
1,독거노인 돕던 60대 천사 세 명에 새 삶 주고 떠났다
1,“자녀에게 손 벌리기 싫어서” 인생 이모작에 뛰어든 50 60대들
1,[간추린 뉴스] 1 2월 파산자 1727명 중 28%가 60대 이상
1,"30대는 습관, 60대엔 검진 젊어서도 늙어서도 건강이 최고"
1,[JTBC '건강한 당신'] 전립선암 극복한 60대의 비밀은 뭘까
1,신규 사업체 10개 중 5개는 '60대 이상'이 대표
1,[부부의날 생각지혜]왜 60대부부 가장 많이 싸울까 이유는 ‘성격’
2,[김태열 기자의 생생건강] 75세 이상 고령자 운전 시 큰 사고 발생 60대 보다 중증 손상 1.39배 높아
2,"안티에이징 시대, 척추 건강은 10대부터 60대 이상 연령대별 척추 맞춤관리 필요"
2,"[건강한 가족] 40~50대는 암 골다공증, 60대 이상은 감각 기능 확인 필수"
2,[단독]10년 뒤 아이받을 의사가 없다 산부인과 전문의 4명중 1명이 60대 이상
2,[희망을 나누는 기업] 50 60대 재취업 돕는 사회공헌 사업 큰 성과
2,‘전립선 비대증’ 환자 4년 새 48% 급증 10명 중 7명이 60대 이상
2,밀양의 눈물 같은 날 ‘두 어머니’ 잃은 60대 딸의 사모곡
2,죽은 형 시신과 6개월 함께 산 60대 스페인 남자의 사연
2,"'젊은 노인' 활발한 성생활에 60대 이상 성병 환자, 4년새 급증"
2,콜롬비아서 60대 난치병 남성 안락사 말기 환자 아닌 첫 사례
3,‘315일 만에 석방’ 60대 피랍자 “말 안 통해 900일 보낸 것 같았다”
3,103세 치매 노모 돌본 60대 장녀 뇌사 후 4명에 새 삶 선물
3,"압도적으로 많은 60대 남성 고독사, 일본 부동산 시장도 바꿨다 [행복한 노후 탐구]"
3,"[김태열 기자의 생생건강] 지난해 60대 이상 치매 노인 환자 45만명, 초기 증상과 예방법은?"
3,"50대 고혈압 당뇨, 60대 치아질환 70대 치매 주의 “연령별 관심 필요”"
3,2032년 제22대 대선 때 유권자 수 정점 10명 중 4명은 60대 이상
3,"설 이틀전 구미서 실종된 치매 60대, 나흘 만에 강변서 숨진채 발견"
3,2018년 공공일자리 1년 새 2만개↑ 50 60대 이상 가장 많이 늘어
3,[인구와 경제] 60대가 노인? 달라진 '요즘 어른' 알아야 시니어마켓 성공한다
3,"자택서 피 흘린 채 발견된 60대男, 죽기전 한 말 “수탉”"
