Topic Number,제목
1,삼국지로 풀어 보는 이야기 죽어가던 원술에게 물 한모금 준 농부 사망 책임 물을 있나
1,취객을 도로에 내려 사망케 택시 기사 유기 치사죄 알아야 보이는 법 71
1,사서가 추천하는 오늘의 책 그들은 소리내 울지 않는다 슬픈 50대 속에 내가
1,한국형 상병수당 도입 본격 추진 디지털 융합훈련 수강하면 50만원 사회안전망 강화
1,소득대체율 올리면 미래세대 부담이 늘어나나 느는 맞습니다 문제는 합리적인 수준이냐는 거죠
1,하반기 달라지는 내달부터 최대 20만원 기초연금 부부가 다 받으면 20 삭감
1,노인 기초연금 하위 40로 확대 자궁 난소 유방 심장 초음파도 건강보험
1,2019 예산안 줬다 뺏는 기초연금 개선 무산 가정양육수당 2개월치 추가 지급
1,추경중독에 빠진 정부 10조 추경해도 용처가 문제 되풀이 선심성 사업 수두룩
1,병원동행 서비스 고위드유 강남베드로병원과 의료서비스 향상을 위한 상호교류 협약 체결
2,2014 경향 신춘문예평론 부문 당선작 무죄 증명의 논리와 유령됨의 자각  정소현 소설 1인칭 화자들의 행동 구조
2,예산으로 본 2013 한국인의 삶 복지예산 양육보조금 전액 현금 보육료 시설 부모 나눠 지급
2,단독 불붙은 웰다잉 논의민주당 안규백 의원 국내 최초로 조력 존엄사 합법화 법안 발의
2,책과 삶수입 저축 이웃 없는 일본 하류 노인의 삼중고 남의 일이 아니다
2,성태윤의 이코노믹스 가계 기업 정부 쓸 돈 없는 상황서 코로나 충격 덮쳤다
2,미리 쓰는 통일 대한민국에 대한 어두운 회고1 노아의 홍수 이후를 위한 서문
2,문재인 대통령 지적 매우 아픈 지점 소득 하위 20 지원 대폭 늘린다
2,146세 주장하는 인도네시아 노인 화제 공식 기록은 프랑스인 잔 칼망 122세
2,연금이 미래다 노인빈곤율 한국 49 vs 네덜란드 15 연금이 차이 갈랐다
2,미세먼지경기 보강 추경 4조 9조 이하 전망 강원 산불 지원 포함되나
3,단독넉넉지 않은 아들이 부양의무자 사는 게 지옥 죽은 남편 따라갈 것비수급 빈곤 리포트1회
3,아내가 도움 청하러 간 새 반지하 방 물 차 95세 치매노인 숨져
3,위기 대응 예산은 줄이고 미래투자 양극화 해소 재원은 늘려 달라진 2022년도 예산편성
3,코로나 위기대응 예산 줄이고 미래 투자 양극화 해소에 집중 투자 2022년 예산
3,독거노인 10명 중 7명 빈곤 여성일수록 적게 벌어 심층기획실버 푸어 시대 경고음
3,미국경제학회 지상중계 지금 손 안쓰면  장기침체 vs 어설픈 정책 경기회복 발목
3,초과 근무시간 저축 휴가 필요할 사용  전문직 화이트칼라는 외 수당 줘
3,2017년 고령인구 유소년 추월하는데 4명 중 3명 현재 삶 만족스럽지 않다
3,엔젤로보틱스 로봇기술 적용한 뇌졸중 환자 일상생활용 보조기기 엔젤앵클 개발 b2c 시장공략
3,엔젤로보틱스 로봇기술 적용한 뇌졸중 환자의 일상생활용 보조기기 엔젤앵클 개발 b2c 시장공략
4,독박육아 저출산의 대안공동육아 저출산 늪에서 벗어나려면 내 아닌 모두의 아이라는 인식 필요
4,국정 5개년계획 내년부터 5세 미만 매월 10만원씩 아동수당 지급 기초연금도 5만원 인상
4,버는 돈 없는데 아파도 병원 갈 있나 노숙인 무료진료에 줄선 가난한 노인들
4,연금개혁 무산 후폭풍 국가 지급보장 책임  명시를 포퓰리즘식 접근 현실감 없어
4,의회 2조달러 경기부양책 협상 타결에 다우지수 11 폭등 87년 만에 최대폭
4,2060년 연금고갈 공포는 타당한가 고갈돼도 연금 받지만 부과식 적립식 선택이 문제죠
4,인포그래픽 한국 노령화 급속화  2036년 생산인구 2명 당 노인 1명 부양
4,인구 2년연속 자연감소 출산 점점 늦어지고 줄어든다 작년 081명 oecd 최하위로
4,치매 노모 버리고 수억 챙겨 잠적한 아들 현대판 고려장에 법원 징역형
4,지난해 생산인구 100명당 치매 환자 2명 부양 2030년엔 4명으로 2배 급증
