Topic Number,제목
1,az 백신 맞고 5일 만에 숨진 70대 여성 접종 다음날 두통 가슴 통증 있어 응급실 방문했었다
1,난민 엑소더스 난민 돕는 간호사 리너 브로커가 난민 배 가라앉히는 비극이 되풀이되고 있어요
1,술 취해 90대 노모 폭행 살해한 아들 2심서도 징역 14년 법원 엄히 처벌해야
1,스위트케이 환자 낙상 감지 ai 영상 분석 환자 모니터링 시스템 특허 대상 수상
1,교통선진국으로 가는 길  공기업 시리즈  교통 사람이 보이면 멈춤  보행 중 사망자 줄여야
1,2020 예산편성 방향경제활력 높여 일자리 창출 외치지만 재정에 의존한 정책적 한계 되풀이
1,교통사고 사망자 10명 중 4명은 노인 노인 교통사고 사망률 oecd 압도적 1위
1,아파트 지하주차장서 90대 할머니 차량 6대에 연달아 치여 사망 운전자들 어두워 몰랐다
1,김봉석 윤이나의 정기구독 믿고 보는 딕 울프의 범죄물 범죄 통해 사회 모순을 보다
1,서울시 내일신문 교통안전기획보행 중 사망자 줄이기 생활도로 시속 30 이하로 법제화해야 한목소리
2,책과 길 엄마의 죽음 후 소년의 인생은 꼬여만 가는데 지난해 퓰리처상 황금방울새 국내 번역 출간
2,장애인 구역 불법주차 신고하자 차에 펑크 낸 60대 피해자 아들 태우고 오다 사고 날 뻔
2,스피리추얼 코치 김필수의 참다운 나로 살기 내면의  의식 확장 아낌없이 주면 풍요의 나무 커진다
2,작가 70명이 쓴 각양각색 초단편 읽는 덴 짧아도 곱씹는 덴 길다이종산의 장르를 읽다
2,부활의 주를 만난 사람들 육아 친정문제로 힘들던 삶 영접 후 우울감 사라지고 평온
2,영상경적 울렸는데 멈춰선 차에 놀라 넘어진 할머니 수술비 보험 접수 해야 하나요
2,교제 거절한 30대 여성에 염산 뿌린 70대 노인 청소용 소독약 뿌렸다 주장
2,az 백신 연령 제한 기준 바꾼 영국독일 한국은 30세 미만 유지 가닥
2,상온노출 독감 백신 407명 이미 접종 정은경 청장 부작용 아직 보고 안돼
2,학교 운동장에서 찬 공에 의한 사고책임을 부모에게 물을 없다일본 대법원 판결
3,한강 불꽃축제가 열리면 노인들은 보광동을 떠났다  새로 듣는 폭력의 역사 우리가 서로를 잊지 않는다면
3,1억원 고료 제9회 세계문학상 평범한 40대 주부 어느날 충동 살인 목격자도 없애자 마음을 먹고
3,17일부터 전국 도시 일반도로서 시속 50 이내로 달려야 정부 차량 소통에 큰 영향 없다
3,신철수 쌤의 국어 지문 읽기 세계에 대해 무미함 권태 허무를 느꼈니 부조리한 거야
3,진주의료원서 옮긴 환자 이틀뒤 숨져 상태나쁜 환자 의료원서 퇴원 종용 사망시점 앞당겨졌을 가능성도
3,강찬호 논설위원이 간다 검거율 77의 1등 공신 cctv 수천개 화면 검색에 애로
3,나우뉴스 600억 넘는 러 첨단 전투기 노인이 쏜 총 맞아 추락 영상
3,아찔한 승강기 사고 승강기 문에 사람 몸 낀 채 열린 상태서 올라가
3,증언의 욕구에서 피어오른 문학적 기품과 통찰 박완서 단편소설 전집 7권으로 완간
3,빈섬 이상국의 뷰 21세기 비범한 서정시의 절정을 잃다 문인수의 죽음에 부쳐
4,김유태 기자의 영화와 소설 사이 노인을 위한 나라는 없다  지성이 사라진 시대 거리를 독보하는 재앙
4,창간 67주년 특집  안의 우리학생 노인들 안전 귀가 보람 느껴 2의 고향 밤길 지켜요
4,조효제 교수 성소수자 차별하면 지구도 못 지킨다  인권과 환경 연결짓는 책 침묵의 범죄 에코사이드
4,가만한 난 마음껏 날지 못한 여성일뿐 젠더 벽에 막힌 첫 여성 우주비행사 후보
4,길 잃은 치매 노인들 공립 치매 전담 시설 첫 발 적극 지원 필요
4,깨어 있으라 강요하는 시민들 싫어 눈을 가려버렸습니다  영화 버드 박스 리뷰 씨네프레소
4,인터뷰88만원 세대 저자 우석훈 박사 구의역 사고 젊은층은 운명과 직결된 일로 바라봐
4,5살 머리에 총 쏴 제거 러 와그너 용병의 충격 고백 stop 푸틴
4,생생경제 승강기 비상시 고유 번호로 신속한 구조 요청 가능 상단 번호 확인해야
4,장성 요양병원 화재 환자 관리 소홀 업무상 과실 치사 이사장 징역 3년
