Topic Number,제목
1,이영실 서울시 보건복지위원장 요양보호사 성희롱 성추행 피해 방지 위한 서울시 차원 대책 마련
1,이영실 서울시 보건복지위원장 서울시 장기요양 현장 성희롱 피해 근절 대책 마련 토론회 개최
1,추석 야들아 오지 마라 했던 경북 의성 이번엔 아들 딸이 못 가서 죄송해요
1,우리는 충분히 돌봄 받고 있는가2교통사고 당해도 입원 거부 엄마들은 아플 자격도 없어요
1,6년차 작업반장 베트남인 람 기껏 만든 기술자 돌아갈 판 이제는 이민시대
1,일상회복을 위한 사회백신거동 힘든 환자 찾아가는 의료진 존엄한 삶을 지키는 파수꾼들
1,성공적 dx 위한 파트너 역할 강조 kt 디지털x 서밋 2021 마무리
1,노원구 드론 활용 타워크래인 안전점검 풍수해 대책 진화수락산 무장애 숲길 개통
1,삶의 무게가 버거워 결혼 출산 거부하는 비혼남녀 늘어난다 김현주의 일상 톡톡
1,장애인의 날 맞아 모두가 자아 실현 기회 가져야 유튜브 채널에 댓글도
2,하나를 넘어 함께하는 우리로 24 한국ywca 국내 최초 시간제 가정부 도입후 돌봄 서비스 주도
2,세계초대석 정현백 여성가족부 장관 미투 사회적 담론 형성 주도 2차 피해 방지 최선 다할
2,결혼 5년 이내 부부 10명 중 4명 자녀 없다 맞벌이 무주택자 무자녀 비중 높아
2,돌봄 인프라 늘린 성동 강동 서울내 합계출산율 1위로 70th 창사기획리버스 코리아 07의 경고
2,코로나19 재택근무 여성 315 임금감소 고용형태 변화 고용형태 변한 여성근로자 89 비정규직 전환
2,서울시 생활임금 시간당 1만원 시대 명암 근로자 소득 늘었지만 자치구 예산 부담 커져
2,애 키우는데 3억 훌쩍 안낳는게 아니라 못낳아요 인구쇼크 패러다임 전환이 답 2
2,이필형 동대문구청장 발 앞선 행보 박수힌남노 피해 없도록 1인 취약 가구까지 점검
2,문 대통령 난임시술 2회 추가 지원 만17세 이하 여성 자궁경부암 백신 무료접종
2,더뉴스더인터뷰 신규 확진 나흘째 100명 미만서울 선제 검사서 확진 3명 발견
3,김경 서울시의원 출산율 oecd 최하위 국가 서울시는 출산율 059명 아동 보육정책 전면 개조해야 할
3,2인1조 근무 이용자 교육  방문 돌봄노동자 보호 위해 회사가 나서야공간의 공포 홀로 일하는 여성들
3,단기 알바만 돌리는 땜질 정책 노동시장 구조개혁은 뒷전 청년 중장년 일자리 공백 심각
3,맞벌이도 맘 놓고 낳으세요 공공 돌봄으로 서울 저출산 해결 서울을 움직이는 사람들
3,대통령 신년기자회견 수치 언급 늘리면서 경제 성과 강조 경제 35번 최다 언급
3,직장인 10명 중 3명은 200만원도 못 벌었다  숙박 음식점업 비중 가장 커
3,박원순 서울형 뉴딜정책이 뜬다 요람에서 복지까지 시민 전 생애 책임지는 돌봄 실현
3,이동 어려운 어르신 장애인에 도시락 배달 코로나19 재난 속 돌봄공백 대응 빛났다 인터뷰
3,지금 여성 일자리인가생계는 남자의 책임이라는 가부장적 논리 여성 해고 등에 악용
3,미리 보는 8뉴스 정부 여성 경력 유지 지원 방안 확정달라지는 것은
4,신한라이프 ai 챗봇 서비스 여러 디지털 솔루션 제공 고객 맞춤형 건강증진 헬스케어 사업 박차
4,정면승부 홍익표 3월 지급이 선거용 돈 주고 표 샀던 적 있어 그런말
4,장애인 재활지원 강화 시급  지원 체계 구축 필요 입원에서 사회복귀까지 원스톱 지원
4,해외서 응급 상황 생기면 외로움 대처하는 법 시민의 목소리 정책이 되다
4,1인가구 가장 힘든 아플  서울시 병원 동행 6개월 만에 2000명 이용
4,여성계 산 증인 김상희 의원 대통령 여자여서 성공했다 평가 받았으면
4,방문판매원 특수고용직 약 27만명 내년부터 산재 혜택 가입률 높이기는 난제
4,5명 키우다보니 매일 전쟁 같지만 나란히 누운 모습 보면 행복해요
4,서양호 중구청장 국공립어린이집 직영 전환 책임있는 보육서비스 펼칠 구청장에게 듣는다
4,조용한 마을에 아이들 목소리가 들린다사회서비스원 보육사각지대 새우개 마을에 국공립어린이집 설립
