,전체주중주말,주운행선,운행년월,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차수입금액,승차인원수,승차연인거리,좌석거리,1인당수입율,공급대비승차율,운행대비고객이동,관광,일반,일반/관광,대수송,임시,확정,시발역,종착역,열차운행횟수
0,전체,경부선,2015-01-01,31,14,17,1,0,69372,3543395,128049178500,3667299,9748048608,14822262064,1080541.3871971557,32.001205845964925,47.53716297394647,0.0,475.0,2.0,0.0,10.0,467.0,186,186,4035
1,전체,경부선,2015-02-01,28,12,16,3,3,63270,3245162,121361834100,3422455,9164774985,13580749259,990080.9824897958,29.498333257046387,42.34379382547994,0.0,432.0,3.0,91.0,12.0,332.0,168,168,3700
2,전체,경부선,2015-03-01,31,13,18,1,0,68492,3508931,120948542600,3564537,9121807852,14672499958,1047140.8416876288,31.286171842443313,50.96527798063823,0.0,465.0,4.0,0.0,0.0,469.0,186,186,3999
3,전체,경부선,2015-04-01,30,12,18,0,0,66146,3397973,120614189400,3524340,9096502432,14101296781,1021744.5790583994,30.917470925740982,47.50181322936098,0.0,479.0,9.0,0.0,0.0,488.0,180,180,3810
4,전체,경부선,2015-05-01,31,15,16,3,0,69858,3592956,135076041300,3894486,10271777531,14924842491,1070896.794708924,33.408709216300856,46.144244238038965,0.0,515.0,10.0,0.0,21.0,504.0,186,186,4022
5,전체,경부선,2015-06-01,30,12,18,1,0,66224,3385686,87954458300,2553934,6512537121,14044702845,1030727.7632078255,22.620107779198918,65.72936944227739,0.0,482.0,4.0,0.0,2.0,484.0,180,180,3815
6,전체,경부선,2015-07-01,31,13,18,0,0,68546,3512863,115520672700,3266411,8588649623,14565135786,1093962.2389803934,28.748999613853073,53.63041735194167,0.0,405.0,191.0,0.0,0.0,596.0,186,186,3948
7,전체,경부선,2015-08-01,31,14,17,1,0,66974,3401486,130873144000,3554036,9462062208,13917692575,1140182.528554217,32.357724212720754,46.0478133402511,0.0,74.0,492.0,0.0,1.0,565.0,186,186,3966
8,전체,경부선,2015-09-01,30,12,18,3,3,65376,3341338,120878239500,3386469,8601109548,13675073753,1065922.3859531367,30.164953611664764,49.01195005138386,3.0,188.0,395.0,85.0,17.0,484.0,180,180,3879
9,전체,경부선,2015-10-01,31,14,17,2,0,66826,3415046,132709519700,3700379,9471236728,13963293512,1108271.596825989,33.39656510423355,46.70134455424505,0.0,96.0,488.0,0.0,3.0,581.0,186,186,3974
