iter	RMSE
0	70654.96569
1	70423.43129
2	70198.25575
3	69968.02859
4	69762.76595
5	69642.77254
6	69464.08874
7	69254.41692
8	69052.14591
9	68879.20704
10	68727.42468
11	68666.77633
12	68547.07037
13	68439.52765
14	68267.17548
15	68158.611
16	68016.57097
17	67846.92085
18	67703.27996
19	67610.215
20	67451.50435
21	67348.92269
22	67278.18017
23	67136.24302
24	67017.71244
25	66911.06453
26	66803.12921
27	66671.08485
28	66601.68471
29	66485.95238
30	66372.13322
31	66299.84752
32	66270.95533
33	66178.95513
34	66089.8616
35	66037.53893
36	65984.07768
37	65890.52532
38	65806.40067
39	65784.47704
40	65758.48021
41	65696.2586
42	65660.99616
43	65641.51317
44	65552.67027
45	65534.90176
46	65470.71167
47	65408.62067
48	65342.00428
49	65269.85341
50	65246.90335
51	65207.5546
52	65176.62656
53	65133.84979
54	65107.94981
55	65087.1575
56	65032.78674
57	64998.47151
58	64963.88329
59	64928.43022
60	64874.7961
61	64863.5772
62	64852.37314
63	64834.62178
64	64818.32476
65	64783.33114
66	64757.35713
67	64736.50174
68	64703.04443
69	64699.76721
70	64672.95195
71	64624.84749
72	64603.8874
73	64582.8002
74	64559.23273
75	64542.04359
76	64503.79891
77	64494.60723
78	64467.75107
79	64460.28978
80	64447.15311
81	64440.19543
82	64418.07952
83	64406.0972
84	64394.97236
85	64387.65103
86	64355.38077
87	64351.59752
88	64338.25198
89	64319.736
90	64287.0908
91	64267.94923
92	64256.91345
93	64242.93663
94	64222.18202
95	64186.9973
96	64149.82941
97	64147.60886
98	64118.5042
99	64095.44396
100	64084.31712
101	64070.04594
102	64061.88917
103	64054.18157
104	64042.04115
105	64032.13829
106	64016.12751
107	64000.50765
108	63970.14076
109	63952.11577
110	63939.26139
111	63918.01378
112	63914.36234
113	63912.87935
114	63896.74014
115	63871.6627
116	63864.31356
117	63848.55129
118	63843.88579
119	63825.25952
120	63822.49496
121	63807.90641
122	63789.60002
123	63770.78398
124	63743.07978
125	63720.99943
126	63715.25746
127	63697.39514
128	63680.66828
129	63678.13009
130	63673.99272
131	63668.03011
132	63648.90489
133	63632.38208
134	63624.98677
135	63608.91146
136	63595.36583
137	63589.67423
138	63588.31848
139	63578.79675
140	63564.11248
141	63555.81336
142	63537.62276
143	63526.62581
144	63509.15026
145	63494.19249
146	63491.56426
147	63489.8379
148	63473.58243
149	63463.27838
150	63450.44033
151	63448.86211
152	63441.80584
153	63431.87416
154	63428.47399
155	63420.3751
156	63418.90842
157	63412.14473
158	63399.55953
159	63397.35178
160	63385.27843
161	63366.44501
162	63360.80115
163	63346.33602
164	63334.65682
165	63323.95077
166	63321.50496
167	63318.28334
168	63314.53966
169	63314.19638
170	63309.88254
171	63292.68553
172	63278.87145
173	63272.85094
174	63267.91588
175	63251.75959
176	63251.50722
177	63247.64727
178	63240.65019
179	63231.50748
180	63224.37281
181	63217.68244
182	63207.98651
183	63193.01116
184	63183.60427
185	63171.72084
186	63157.02703
187	63147.54097
188	63142.74771
189	63141.61335
190	63128.19906
191	63119.78528
192	63111.10796
193	63100.5063
194	63089.85284
195	63080.54608
196	63072.18462
197	63063.55425
198	63052.1237
199	63048.28056
200	63037.65696
201	63032.23586
202	63031.32402
203	63020.95956
204	63011.11705
205	63009.33047
206	63001.27157
207	63000.39847
208	62995.51127
209	62991.95564
210	62987.21014
211	62985.49067
212	62976.2348
213	62972.59179
214	62972.54199
215	62971.71066
216	62963.17325
217	62959.53766
218	62956.02722
219	62949.36056
220	62948.57306
221	62945.09286
222	62940.95624
223	62931.97665
224	62928.6598
225	62922.56202
226	62918.01664
227	62917.30359
228	62914.16269
229	62907.83439
230	62899.4766
231	62898.7588
232	62895.75647
233	62892.80515
234	62886.51985
235	62881.12853
236	62875.89411
237	62873.27307
238	62872.65276
239	62864.41868
240	62857.1292
241	62849.98195
242	62844.97433
243	62835.73999
244	62830.98196
245	62826.20063
246	62819.49632
247	62812.78727
248	62805.19313
249	62800.76962
250	62794.44817
251	62787.8393
252	62782.75993
253	62776.38471
254	62772.37055
255	62765.53277
256	62765.04391
257	62761.14158
258	62755.44609
259	62747.39265
260	62745.41546
261	62739.75004
262	62730.27535
263	62724.89885
264	62721.35956
265	62719.51211
266	62713.24907
267	62711.45509
268	62702.666
269	62698.89286
270	62692.31409
271	62690.61465
272	62688.93934
273	62680.7676
274	62675.88166
275	62670.98624
276	62669.40021
277	62667.8374
278	62663.08282
279	62662.73011
280	62657.81748
281	62657.47461
282	62651.24977
283	62646.79645
284	62642.42827
285	62641.00259
286	62637.85766
287	62633.64544
288	62633.33506
289	62629.20738
290	62626.58763
291	62622.58797
292	62621.28211
293	62615.45875
294	62614.19021
295	62607.26805
296	62601.87898
297	62601.60587
298	62597.78755
299	62595.40345
300	62588.98407
301	62586.66137
302	62584.38366
303	62580.80413
304	62576.76907
305	62574.61893
306	62568.56093
307	62568.32397
308	62568.09037
309	62565.72676
310	62562.39821
311	62559.05311
312	62555.84809
313	62551.19656
314	62547.59744
315	62545.46172
316	62544.49397
317	62544.28836
318	62541.26562
319	62540.32826
320	62537.37512
321	62534.47718
322	62529.09151
323	62523.90799
324	62523.72174
325	62522.846
326	62520.00248
327	62517.27453
328	62515.42838
329	62513.84081
330	62512.28382
331	62507.39334
332	62505.87647
333	62504.38879
334	62503.61508
335	62503.4559
336	62502.69595
337	62501.25986
338	62499.63646
339	62498.25472
340	62497.53712
341	62493.7783
342	62489.28836
343	62487.74016
344	62486.43868
345	62482.14073
346	62479.63532
347	62477.17927
348	62476.53411
349	62474.33019
350	62474.20153
351	62470.14023
352	62466.23186
353	62465.62024
354	62463.50312
355	62461.4249
356	62459.33662
357	62456.30643
358	62454.31005
359	62450.7346
360	62447.29334
361	62443.98084
362	62443.87215
363	62443.76501
364	62441.85439
365	62439.25897
366	62436.18035
367	62436.07912
368	62435.56066
369	62433.16009
370	62431.15611
371	62429.19131
372	62426.35304
373	62423.61988
374	62423.14056
375	62421.01124
376	62420.9221
377	62420.83424
378	62420.74764
379	62420.28623
380	62417.74188
381	62417.29215
382	62416.84924
383	62415.14887
384	62413.33803
385	62411.6995
386	62411.28122
387	62409.54147
388	62409.1352
389	62406.75399
390	62405.1971
391	62403.53895
392	62401.26968
393	62400.88847
394	62399.28054
395	62397.11159
396	62395.02289
397	62393.01121
398	62391.07348
399	62389.20673
400	62387.68737
401	62387.6244
402	62387.56236
403	62386.07386
404	62386.01352
405	62384.55436
406	62384.21941
407	62383.88964
408	62383.83268
409	62382.38475
410	62380.96852
411	62380.91398
412	62380.86022
413	62380.54709
414	62380.23875
415	62380.18733
416	62380.13665
417	62379.83451
418	62378.46091
419	62377.09219
420	62375.74944
421	62375.70223
422	62375.41773
423	62373.8018
424	62373.52439
425	62371.97063
426	62370.47392
427	62370.43053
428	62368.98916
429	62367.71538
430	62366.46594
431	62365.24028
432	62364.0379
433	62362.68006
434	62361.37192
435	62361.33293
436	62361.29452
437	62361.25668
438	62360.09302
439	62360.05622
440	62358.98044
441	62358.94469
442	62357.8233
443	62356.72301
444	62356.68869
445	62355.45697
446	62354.4443
447	62354.4114
448	62353.41723
449	62352.44075
450	62351.48161
451	62350.31567
452	62349.19257
453	62348.11062
454	62348.08075
455	62347.15313
456	62346.24196
457	62345.3469
458	62344.46764
459	62343.60388
460	62343.57644
461	62343.54942
462	62342.52961
463	62341.54722
464	62340.60075
465	62339.76486
466	62339.73963
467	62339.71478
468	62338.80722
469	62337.99044
470	62337.18802
471	62336.39967
472	62335.62514
473	62335.60229
474	62334.74215
