iter	Passed	Remaining
0	0	641
1	1	570
2	1	554
3	1	489
4	2	490
5	3	526
6	3	555
7	4	542
8	5	562
9	5	556
10	6	556
11	6	555
12	7	537
13	7	534
14	8	532
15	8	526
16	9	523
17	9	534
18	10	535
19	10	538
20	11	524
21	11	525
22	12	526
23	12	525
24	13	526
25	14	525
26	14	522
27	15	521
28	15	520
29	16	517
30	16	514
31	16	513
32	17	512
33	17	511
34	18	508
35	18	506
36	19	505
37	19	502
38	20	500
39	20	497
40	21	496
41	21	496
42	22	493
43	22	492
44	23	490
45	23	488
46	23	486
47	24	484
48	24	484
49	25	483
50	25	481
51	26	479
52	26	477
53	27	475
54	27	473
55	27	470
56	28	467
57	28	464
58	29	463
59	29	461
60	29	460
61	30	458
62	30	455
63	31	453
64	31	453
65	31	451
66	32	447
67	32	445
68	32	443
69	33	442
70	33	440
71	34	439
72	34	440
73	35	440
74	35	441
75	36	440
76	36	440
77	37	440
78	37	440
79	38	438
80	38	437
81	39	437
82	39	438
83	40	437
84	40	438
85	41	437
86	41	436
87	42	436
88	42	436
89	43	435
90	43	434
91	43	432
92	44	432
93	44	431
94	45	431
95	45	431
96	46	431
97	46	430
98	47	429
99	47	429
100	48	428
101	48	427
102	49	427
103	49	426
104	49	425
105	50	425
106	50	424
107	51	423
108	51	422
109	52	421
110	52	421
111	53	420
112	53	420
113	54	419
114	54	417
115	54	416
116	55	416
117	55	415
118	56	415
119	56	414
120	56	414
121	57	413
122	57	412
123	58	411
124	58	411
125	59	411
126	59	411
127	60	411
128	60	410
129	61	409
130	61	409
131	62	409
132	62	408
133	62	407
134	63	405
135	63	404
136	64	404
137	64	402
138	64	401
139	65	400
140	65	399
141	66	399
142	66	398
143	66	397
144	67	397
145	67	396
146	68	396
147	68	395
148	68	394
149	69	393
150	69	392
151	70	391
152	70	390
153	70	389
154	71	388
155	71	387
156	71	386
157	72	385
158	72	384
159	72	383
160	73	382
161	73	380
162	73	379
163	74	378
164	74	377
165	74	376
166	75	376
167	75	375
168	76	374
169	76	373
170	76	373
171	77	371
172	77	371
173	78	370
174	78	370
175	79	370
176	79	369
177	79	369
178	80	367
179	80	367
180	80	366
181	81	365
182	81	364
183	82	364
184	82	363
185	83	363
186	83	363
187	83	362
188	84	362
189	84	361
190	85	360
191	85	359
192	85	359
193	86	358
194	86	357
195	87	357
196	87	356
197	88	356
198	88	356
199	88	354
200	89	354
201	89	353
202	89	353
203	90	352
204	90	352
205	91	351
206	91	350
207	92	352
208	93	353
209	93	353
210	94	352
211	94	351
212	95	351
213	95	350
214	95	350
215	96	350
216	97	350
217	97	349
218	97	349
219	98	348
220	98	347
221	99	347
222	99	346
223	100	346
224	100	347
225	101	346
226	101	346
227	102	345
228	102	345
229	103	345
230	103	345
231	104	345
232	104	344
233	105	343
234	105	343
235	105	342
236	106	342
237	106	341
238	107	340
239	107	340
240	107	339
241	108	339
242	108	338
243	109	338
244	109	337
245	110	337
246	110	336
247	110	336
248	111	336
249	111	335
250	112	335
251	112	334
252	113	333
253	113	333
254	114	333
255	114	332
256	114	332
257	115	331
258	115	331
259	116	331
260	116	330
261	117	330
262	117	329
263	117	328
264	118	328
265	118	327
266	119	327
267	119	326
268	119	326
269	120	325
270	120	325
271	121	325
272	122	325
273	122	324
274	122	324
275	123	323
276	123	323
277	124	322
278	124	321
279	124	321
280	125	320
281	125	319
282	125	319
283	126	318
284	126	317
285	127	317
286	127	316
287	128	316
288	128	316
289	129	316
290	129	316
291	130	315
292	130	315
293	131	314
294	131	314
295	132	314
296	132	314
297	133	313
298	133	313
299	134	313
300	134	312
301	135	312
302	135	311
303	135	311
304	136	310
305	136	310
306	137	309
307	137	308
308	137	308
309	138	307
310	138	307
311	139	307
312	139	306
313	140	306
314	140	306
315	141	305
316	141	305
317	142	304
318	142	304
319	142	303
320	143	303
321	143	302
322	143	301
323	144	300
324	144	300
325	144	299
326	145	299
327	145	298
328	146	297
329	146	297
330	146	297
331	147	296
332	147	296
333	148	295
334	148	294
335	148	294
336	149	293
337	149	292
338	149	292
339	150	292
340	150	291
341	151	290
342	151	290
343	151	289
344	152	289
345	152	288
346	152	287
347	153	287
348	153	286
349	154	286
350	154	285
351	154	284
352	155	284
353	155	283
354	155	283
355	156	282
356	156	282
357	157	281
358	157	281
359	157	280
360	158	280
361	158	279
362	159	279
363	159	278
364	159	278
365	160	277
366	160	277
367	161	276
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	163	273
374	163	272
375	163	272
376	164	271
377	164	270
378	164	270
379	165	269
380	165	269
381	166	268
382	166	268
383	167	268
384	167	268
385	168	267
386	168	267
387	169	266
388	169	266
389	169	265
390	170	265
391	170	264
392	171	264
393	171	263
394	171	263
395	172	262
396	172	262
397	173	261
398	173	261
399	173	260
400	174	259
401	174	259
402	174	258
403	175	258
404	175	257
405	175	257
406	176	256
407	176	256
408	177	256
409	177	255
410	178	255
411	178	254
412	178	254
413	179	253
414	179	253
415	180	252
416	180	252
417	180	251
418	181	251
419	181	250
420	182	250
421	182	250
422	183	250
423	183	249
424	184	249
425	184	248
426	185	248
427	185	247
428	185	247
429	186	246
430	186	246
431	186	245
432	187	245
433	187	244
434	188	244
435	188	243
436	188	243
437	189	243
438	189	242
439	190	242
440	190	241
441	191	241
442	191	241
443	192	240
444	192	240
445	193	239
446	193	239
447	194	239
448	194	238
449	194	238
450	195	237
451	195	237
452	195	236
453	196	236
454	196	235
455	196	234
456	197	234
457	197	234
458	198	233
459	198	233
460	199	232
461	199	232
462	200	232
463	200	231
464	200	231
465	201	230
466	201	230
467	202	229
468	202	229
469	203	229
470	203	228
471	204	228
472	204	227
473	205	227
474	205	227
475	206	227
476	206	226
477	207	226
478	207	226
479	208	225
480	208	225
481	209	224
482	209	224
483	210	223
484	210	223
485	211	223
486	211	222
487	212	222
488	212	222
489	213	221
490	213	221
491	213	220
492	214	220
493	214	219
494	215	219
495	215	218
496	215	218
497	216	218
498	216	217
499	217	217
500	217	216
501	217	216
502	218	215
503	218	215
504	219	215
505	220	214
506	220	214
507	220	213
508	221	213
509	221	213
510	222	212
511	222	212
512	223	211
513	223	211
514	223	210
515	224	210
516	224	209
517	224	209
518	225	208
519	225	208
520	226	207
521	226	207
522	226	206
523	227	206
524	227	205
525	228	205
526	228	205
527	228	204
528	229	204
529	229	203
530	230	203
531	230	202
532	231	202
533	231	202
534	232	201
535	232	201
536	233	200
537	233	200
538	233	200
539	234	199
540	234	199
541	235	198
542	235	198
543	236	197
544	236	197
545	236	196
546	237	196
547	237	196
548	238	195
549	238	195
550	239	194
551	239	194
552	240	194
553	241	194
554	241	193
555	242	193
556	242	193
557	243	192
558	243	192
559	244	192
560	244	191
561	245	191
562	245	190
563	246	190
564	246	189
565	247	189
566	247	188
567	247	188
568	248	188
569	248	187
570	248	187
571	249	186
572	249	186
573	250	185
574	250	185
575	251	184
576	251	184
577	251	183
578	252	183
579	252	183
580	253	182
581	253	182
582	253	181
583	254	181
584	254	180
585	254	180
586	255	179
587	255	179
588	255	178
589	256	178
590	256	177
591	256	176
592	256	176
593	257	175
594	257	175
595	258	175
596	258	174
597	258	173
598	259	173
599	259	172
600	259	172
601	260	171
602	260	171
603	260	170
604	261	170
605	261	169
606	261	169
607	262	168
608	262	168
609	262	168
610	263	167
611	263	167
612	263	166
613	264	166
614	264	165
615	264	165
616	265	164
617	265	164
618	266	163
619	266	163
620	266	162
621	267	162
622	267	162
623	268	161
624	268	161
625	268	160
626	269	160
627	269	159
628	270	159
629	270	158
630	271	158
631	271	158
632	271	157
633	272	157
634	272	156
635	272	156
636	273	155
637	273	155
638	273	154
639	274	154
640	274	153
641	275	153
642	275	153
643	276	152
644	276	152
645	276	151
646	277	151
647	277	150
648	278	150
649	278	149
650	279	149
651	279	149
652	280	148
653	280	148
654	281	148
655	281	147
656	281	147
657	282	146
658	282	146
659	283	145
660	283	145
661	284	145
662	284	144
663	285	144
664	285	143
665	285	143
666	286	142
667	286	142
668	287	142
669	287	141
670	288	141
671	288	140
672	288	140
673	289	139
674	289	139
675	289	138
676	290	138
677	290	138
678	290	137
679	291	137
680	291	136
681	292	136
682	292	135
683	292	135
684	293	134
685	293	134
686	293	133
687	294	133
688	294	132
689	295	132
690	295	132
691	295	131
692	296	131
693	311	137
694	311	136
695	312	136
696	312	135
697	313	135
698	313	135
699	314	134
700	314	134
701	314	133
702	315	133
703	315	132
704	316	132
705	316	131
706	316	131
707	317	130
708	317	130
709	317	129
710	318	129
711	318	128
712	319	128
713	319	127
714	319	127
715	320	126
716	320	126
717	320	125
718	320	125
