Topic Number,제목_Origin
1,"""건강한 30대 여성 백신 2차 접종 다음날 숨져 너무 분하고 억울"" 눈물의 靑청원"
1,"만나던 남자마다 큰 상처, 결국 마음의 병 생긴 30대.. 부모 잔혹 살해"
1,[기고] 코로나 이후 높아진 30대 여성 자살률 비대면 시대 사회안전망 더 촘촘히
1,[책과 삶]70대 ‘차가운 현실주의자’ 라종일 30대 ‘뜨거운 이상주의자’ 김현진 묘한 ‘우정’
1,"사상처음 50세 이상 취업자수, 20 30대 취업자 능가 근로자 평균 나이44.4세"
1,"'신림동 강간미수' 30대에 징역 5년 구형 검찰 ""피해자에게 엄청난 공포감"""
1,"[건강한 가족] 30대 중반까지 저축한 골량, 타고난 약골도 강골 만들어요"
1,[노경진의 머니트렌드] 20 30대 젊은 남성 패션 소비 느는 이유?
1,"중고등부 청년부 여신도 '그루밍 성폭력' 30대 목사, 징역 5년 확정"
1,한국 노인 빈곤율 처음 30%대로 하락 그래도 OECD 최고 수준
2,나라마다 다른 新386-불황 상징 日 ‘사토리 세대(‘잃어버린 20년’ 시대 출생)’ 취업 걱정 뚝 금융위기에 씀씀이 확 줄인 미국 30대
2,‘암 투병 중인 30대 주부’에서 ‘숲 해설사 된 은퇴남’까지... ‘내 책을 말합니다’ 선정작 <1~6편>
2,"[김현주의 일상 톡톡] 30대 후반 산모 급증 서울 부부, 애 1명도 안 낳아"
2,작년 3분기 임금근로 일자리 49만개 늘어  30대 줄고 50 60대 증가세 견인
2,"미래세대 위한 ‘2020 세상에 임팩트를 더하자, 업’ 프로젝트 경쟁률 30대 1"
2,"""결혼해야 애 낳나요"" 美 대졸 30대女 넷 중 하나 비혼 출산"
2,자외선 차단제 바르는 법 '특히 30대 여성에게 중요' 이유가? '이럴수가'
2,"韓 행복지수 세계 59위 삶의 만족도는 30대 최고, 60대이상 최저"
2,"한국인 30대 위암, 40~50대 간암, 60대 이상 폐암으로 많이 죽는다"
2,"[슬기로운라디오] 신체나이는 30대, 눈의 나이는? 피할 수 없는 노안 대처법"
3,‘내 미래 농촌에서 찾겠다’ 귀농인 30대 이하 비중 10% 첫 돌파
3,"1인 세대, 사상 첫 40% 넘었다 男 30대, 女 70대 이상이 '최다'"
3,"""9살 버릇, 30대때 암 된다"" 유전은 못바꿔도 '습관' 바꾸면 암예방"
3,"""'미친 집값'에 먹고 살기 힘들다"" 속타는 30대 청년들 [글로벌 핫이슈]"
3,"""인생 2막 준비"" 30대 후반~40대 초반 여성들 자격증 취득에 관심"
3,심은진에 악플 단 30대 여성 2심도 실형 “게시글 매우 선정적”
3,"뇌졸중 이젠 30대도 덮친다 잊지마시라, 이웃 손 발 시선"
3,"[잃어버린 가족찾기]3살 때 부모와 헤어진 30대, 혈육 찾기 나서"
3,사회신뢰 수준 30대가 가장 낮아 평균 4.59점에 30대는 4.26점
3,손자뻘 30대 이집트 청년과 결혼한 80대 英 할머니의 사연
