Topic Number,제목
1,폐원 철회 촉구 단식농성 우석균 보건의료단체연합 정책실장 공공의료 무너지면 진료비 폭등 진주의료원은 박대통령 시험대
1,영하 6도 첫 차 타고 아침 먹으러 온 독거 노인에  숭늉 그릇의 온기 나눠요
1,퇴직연금 활성화로 근로자 노후 소득 보장 관리 부실 우려 금융권 우려 해소 방안도 담겨
1,성장 보는 눈 바꿔야 국가경제 산다 10년 만에 노인취업률 23p 증가독일은 일터를 늘렸나
1,동료들과 국민연금 탈퇴 방법 찾자 얘기 짐 되기 싫은데 정부안은 후손에 부담 줘
1,1억복권 위조 60대 잡고 보니 99세로 나이 세탁해 노령연금 챙기고 전국노래자랑 출연
1,한중수교 25년 아주초대석 권병현 주중대사암흑기에도 수교했는데 사드 갈등 담판 벌여 풀어라
1,영하 6도 첫차로 온 90대 노인도 노숙 구직자도 눌은밥 그릇에 온기
1,여기는 남미 연금이 뭐길래 휠체어 타고 은행 온 노인 알고보니 시체
1,연금보다 의료개혁 시급 이대로면 45년 내 고통스럽게 무너질 안미현의 인물 프리즘
2,내일신문 서강대 현대정치연구소 한국리서치내일신문 창간 24주년 특별기획  자영업자의 길을 묻다 노인 자영업자 진퇴양난  창업 소득
2,일본 취업에 눈 돌리는 한국 청년들  아베노믹스로 청년 완전고용 서비스 제조업 한국인 환영
2,2017년 예산안 통과저소득층 청소년 생리대 지원 경로당 냉난방비 지원 정부안에서 빠졌다가 부활
2,약자 지원 확대하는 정부 기초연금 장애수당 한부모가정 양육비 지원금 인상 2023년 예산안
2,산재연금 타내려 배우자 사망 3일전 허위 혼인신고 90대 노인 법원 부부 아냐
2,신성식의 레츠 고 9988 진료수가 42 올랐는데 노인진료비 기준 16년째 1만5000원
2,말기암 치료 거부한 75세 홀몸노인 마지막 재산 40만원 이웃에 남기고 떠나
2,은퇴해도 빚 못 줄이는 노년층 나이 들수록 소득 대비 부채비율 증가
2,자기야 아프지 마 연금 생활자 울리는 가지 복병 행복한 노후 탐구
2,경제 덕분에 남미 최고 성장률 이끈 볼리비아 모랄레스 대통령 3선 성공
3,연금 받으려 어머니 백골 시신 방치한 40대 딸 검찰 송치 방임 혐의 추가
3,기획 개혁 방향은 잡았지만 실적은 기대 이하 박근혜정부 핵심 과제 성과 지지부진
3,기존 기초노령연금 수급자 중 3만명 고가 주택 거주 등으로 이번달부터 대상에서 제외
3,노인 고용률 청년에 역전했지만 공공일자리 한달에 27만원 벌어 청년 고용악화 엇갈린 진단
3,영상 러 대망신 우크라 노인 소총으로 492억 러 첨단 전투기 격추 나우어스
3,월간중앙 2차 북 미 정상회담 특별기획 북 핵보유국 공인시 남한의 선택
3,젊은세대 보험료는 많이 내고 연금은 덜 받고 초고령사회  커지는 세대간 연금차별
3,예전엔 퇴원해도 재입원 가능했는데 폐업 땐 갈 곳 없어 병원서 죽겠다
3,나치의 팬터 탱크 뭣에 쓰려고 독일 검찰 84세 노인 압류물 골치
3,여기는 충주 오늘은 내가 경찰 어린이날 앞두고 경찰 직업 체험
4,심한 우울증 사회적 고립 백골 어머니 사체 방치한 딸에 검찰 징역 3년 구형
4,어머니 백골 시신과 2년 넘게 지내며 연금 수령한 딸 검찰 이례적 항소 포기
4,속보 이재명 소득 주거 기본적 삶 보장되는 기본 사회로 나가야 모든 노인에 기초연금
4,대통령 취임식 집권 2기 시작 역사에 평가 맡긴다 오바마 담대한 도전 시동
4,한국 노인의 자화상늙어서도 일할수밖에 없는 우리나라 노인들 경제활동참가율 oecd 최고수준 연금체계 손봐야
4,경기도 가구 최대 고민은 노후대책 노후 준비 걸림돌은 주거비 마련과 교육비 지출
4,기초연금 받는 노인은 인생 잘못 산 전 복지부 산하 위원장 망언 파문
4,고용 한파에 주부 노인도 취업 대기 잠재구직자 달새 20만 증가 역대 최대
4,25일 410만 명에게 기초연금 지급 7월 신청자 31만 명은 8월에 소급 수령
4,아무튼 주말 벚꽃은 잎보다 꽃이 먼저 피잖아 그것도 성격 탓이지 성격
