Topic Number,제목
1,술 취한 상태 고려 10년 만에 만난 딸 강제추행해 죽음 내몬 친부 징역 5년
1,출소 3개월 만에 70대 여성 집 담벼락 넘어 강간 시도했다 실패한 50대 징역 5년
1,온라인 유통 편집숍 지역 백화점의 혁신 아이콘 fn 잡코리아 공동기획 2020 청년희망 슈퍼기업
1,초등생 미성년 6명과 성관계 몰래 촬영한 20대 죄질 나쁘다면서 징역 3년6월 감형 확정
1,처음 보는 여성 집에 들어가 성폭행 시도 상해만 입힌 30대 남성 징역 10년
1,사귀던 10 20대 장애 여성 집창촌에 팔아버린 선 후배 징역 3년 선불금도 가로채
1,성관계 맺은 여성 신체 촬영 동의 없이 sns 유포 종근당 장남 2심도 집유
1,발송지는 대만 노란봉투에 든 것은 울산 이어 제주 대전서도 독극물 소포 의심 신고
1,하트시그널3 천안나 후배 갑질 의혹에 강제추행 혐의 강성욱도 재조명 2심서 실형 감형
1,부산대 기숙사 침입해 성폭행 시도한 대학생 2심도 집유 과음 탓 우발적 범행
2,로컬 사건추적 법정증인 협박혐의 경찰수사 받아온 세종시 태권도협회 임원 특가법 위반 검찰 송치
2,금융권 노동이사제 도입 논란 커져근로자 경영참여 대안은 없나 고충처리기구 전락한 노사협의회 살려야
2,태극전사 스토리 놀이기구도 못 탄 겁 많았던 울보 설원 위 펄펄 날다
2,1회 노회찬 상 이탄희 판사의 노회찬 기억 고인과의 첫 만남 부드럽고 따뜻했다
2,북한판 마타하리 원정화 난 간첩이 맞다 아니라고 괴롭히지 말아 달라 호소
2,해외입양 65년갈 길 먼 뿌리 찾기 추방 위기의 입양인들 고국조차도 외면했다
2,어린이 책스즈짱이 갑자기 소리치고 박수치고 하는 건 뇌가 여러분과 다르기 때문이래요
2,여행의 향기 일제 유산이 아직 고스란히 목포 옛 도심은 뼈아픈 역사의 거울
2,김현숙 신임 장관 여가부 개편 많은 이야기 듣고 의견 절충 필요
2,장애 비장애인 팀 이뤄 경기 행복한 중랑 슛 골인 현장 행정
3,14년간 미혼모 출산 육아 사회 복귀 도와 불행 끊고 새 가족의 출발선이 되라 응원
3,화성 8차사건 윤씨 경찰과 검찰 사과해야 재심 끝나면 억울한 사람 위해 일하고 싶어
3,코로나 재유행에 위중증 환자 다시 500명대 실내 마스크 의무 착용 2단계 해제 가닥
3,10년 차 노숙인이 다시 설 있었던 원동력은  누군가의 관심 노숙인 가장 낮은 곳에
3,박명규 에듀윌 대표 214회차 사랑의 쌀 기증식 자리해 장애인들의 값진 땀 응원할
3,국토연구원 2 후반 성장 위해 soc 투자 확대해야  최대 53조 투자 필요
3,아주경제 오늘의 뉴스 종합 도지코인 7일간 25 급등철도노조 손 들어 준 법원
3,제로페이 20 첫삽 떳다 소상공인 지원 제로페이 육군과 군 가족 복지지원에도 활용
3,1단계 의료기관 대중교통 제외 2단계 완전 해제  실내 마스크 의무 해제 가닥
3,남고생 제자와 11차례 부적절한 관계 맺은 여교사 측 법정서 성적 학대 부인
4,대장동 핵심 유동규 24일 첫 재판 정인이 사건 양모 26일 항소심 선고 이주의 재판 일정
4,인천 복지시설서 식사 중 숨진 20대 장애인 질식사 추정 cctv서 강제로 먹이는 장면 포착
4,lg 등굣길 무료로 빵 나누고 28년간 미용 봉사해 온 김쌍식 김연휴씨 5명에게 lg의인상
4,신림동 주거침입 30대 남성 강간미수 무죄 남녀 간 갈등 프레임으로 변질되지 않도록 해야
4,경찰 장애인 학대 사전 예방 나선다 학대 사건 조치 예방 정책 수립
4,어깨를 팔로 누른 채 억지로 음식 먹여 장애인 질식사 복지시설 원장 구속
4,인권위 진정 넣었다고 징계 내린 복지시설 재단 시설 폐쇄돼 책임자 경고 불가
4,김종인 미혼모 비정상 발언 논란  미혼모 낙인은 장애인 비하까지 사회적 편견 조장
4,대법원까지 간 제주 대낮 납치극의 전말  불법 체류자 2명이 벌인 행동은 영상
4,성범죄자에 장애인 시설 취업문 열어줘 법원 검찰 황당 실수로 백지된 판결 논란
