Topic Number,제목
1,창간 25주년 특별기획  국책연구기관장에게 듣는다조흥식 한국보건사회연구원장 저소득층 대부분 노인 청년 확장재정 필요
1,노인 4명 중 1명 죽고 싶다 고독사 우려 피해갈 없는 삶의 여정
1,고령화로 30년 뒤 성장률 1대 추락 은퇴하고 할 있는 건 알바 뿐
1,초진 대면진료 원칙 아래 온라인 진료 활짝 연  vs 꼭꼭 닫은
1,뉴스의 맥  생산가능 인구 10 감소 내수 중심 패러다임 흔들
1,시선집중 기부 확산 위해 법 개정 시급  선진국은 세제 혜택
1,새로 나온 책 마지막 농촌 서사 vs 노인 혐오 스릴러
1,늙어가는 대한민국 노인 숫자가 유 소년 인구 첫 추월
1,향후 20년 생산인구 oecd 01 줄고 한국은 19 급감
1,서울 인구 1000만 연말에 깨진다 2026년엔 초고령 사회 진입
2,김용익 건보공단 이사장 문재인 케어 부과체계 개편안 성공이 가장 큰 임무
2,장래인구 특별추계 정부 인구문제 매우 심각 다음달 범정부 인구정책 tf 출범
2,늘어나는 난청 인구 전문적인 보청기 상담을 위한 청능사의 국가자격화 토론회 개최
2,김태열의 생생건강s펜 한국 40년후 2060년에는 인구 1000만 감소출생아 수는 절반으로 뚝
2,김철수 대한치과의사협회장 국민 구강보건 향상 위해 노력 국가의 체계적 지원 필요
2,정부 인구쇼크 대응 잰걸음유례찾기 힘든 저출산 고령화 경제 사회 전방위 충격
2,김호기의 굿모닝 2020s 액체 사회가 만들어낸 고립감과 불안감 맞설 것인가
2,미지의 영역에 도전하는 제약사 국내외 제약사 치료제 개발 활발
2,매매혼 성차별 논란 농촌총각 국제결혼 지원 조례 속속 폐지
2,인구가 경쟁력이다 늙어가는 대한민국 기준점 바꾼 인구정책 다변화 절실
3,포스텍 국내 최초 연구중심 의대 설립 추진초고령화사회로 질주하는  해법은 디지털과 만나는 의학
3,한계 다다른 출산율 높이기 저출산 완화 적응정책 병행해야 연중기획국가 대개조 나서자
3,사설 고령운전 제한 방향은 맞지만 노인 이동권 배려 잊지 말아야
3,70세 이하 젊은 노인 범죄 급증 성범죄는 4년새 2배나 증가
3,전문의 칼럼10년 후 뇌졸중 의료 공백 막으려면 진료 환경 바꿔야
3,저출산 위원회에서 저출산이란 빼라 정부 저출산 토론회에 쏟아진 뜻밖의 주장
3,노인 인권 보호 절실 오늘부터 서울서 노인 인권 국제회의 개막
3,2023년 취업자 증가율 15만23만명 뚝 초고령화 사회 2025년부터 진입
3,직장인들이 바라는 은퇴 후 삶 생활비는 200300만원 노후자금은 5억
3,저출산 고민해봐요 진주시 초 중 고 찾아가는 인구교육 실시
4,세상 속으로 치매 막는 앱 로봇 목소리 sns  청년 창업가들 실버에 꽂히다
4,박능후 복지부 장관 사회안전망 강화하겠다 소득 양극화 개선 기대 못미쳐 송구
4,1년뒤 고령사회 되는 한국 고령층 일자리 지원 가족친화적 인식 필수적
4,세계서 가장 빠른  고령화 2035년 10명 중 3명이 노인
4,자녀 12세까지 근로단축 확대 임금 보전 경력단절 고리 끊는다
4,급속한 고령화 닥친 중국 노인 인구만 한국의 3배
4,제언 건강한 미래의 일꾼을 키우는 교육혁신으로 고령사회 대비하라
4,국민연금 만으론 노인 93 최저생계비 돼 극빈층 전락
4,월드이슈  치매환자 보유 자산 2000조원대 자산 동결 비상
4,하이트진로 거동 불편한 노인에게 휠체어 리프트 제공
5,개혁과 도약 2018 뛰자 대한민국 저출산 고령화의 위협 대한민국 2033년 국가재정 파산
5,김철중의 뉴스 저격  노인병원엔 퇴원 전담팀 환자 집 고쳐주고 조리훈련까지
5,자생한방병원 16일 세계 척추의 날 맞아 척추 질환 양상 점검
5,파킨슨병 환자 중강도 신체 활동이 사망률 감소에 가장 효과적
5,의사 3명이 24시간 분만 대기 20년 은퇴할 때까지 해야죠
5,합계출산율 서울 1위 강동구 인구의 날 복지부장관 표창 수상
5,세계일보 설립자 탄신 기원절 5주년 기념 효정사상의 미래적 가치
5,카드뉴스 10월 2일 노인의 날 서로의 이야기에 귀 기울여봐요
5,요즘 뜨는 소자본 창업아이템은 딜라이트 보청기 제3회 창업설명회 개최
5,포장만 명화로 바꿨는데 대박 한젬마 환자복에도 아트 입혀 볼까
6,건강한 가족 질환 3개 보유 46 약물 5개 복용 42 노인병 전문의 양성 통합의료체계 시급
6,최저임금 고용 악화 vs 인구 구조 변화 일자리창출 논의서 불거진 최저임금 논쟁
6,미리보는 국감 기획재정부 코로나 경기대응 중간 점검고용 투자 갈 길 멀다
6,정신질환 중소병원 국가 의료 질 관리 도입 치매 우울증도 예비대상
6,중소 중견기업쉔픽스의료기 식사선물제공판매 강요 없어져야 의료기기 업체 모범되기 위해 노력
6,찬바람 부니 가슴이 뻐근 환절기 심장질환 남의 일이 아닙니다
6,건강한 가족 고령사회 치매 막는 생활수칙 3권 3금 3행
6,인구재난 단 5년간 대학생 24 군입대 인원 30 줄어든다
6,건강한 가족 퇴원 환자 영양관리 정부 지원 절실하다
6,노인학대 46 급증 매맞는 아버지는 아들 걱정을 했다
7,젊을 땐 사진 장으로 삶의 의미 경험 늙으면 앨범처럼 인생 전체 훑어보게 돼
7,임현우 기자의 키워드 시사경제 한국은 3년 중국도 13년 뒤엔 노인 인구 20 넘어
7,육체노동자 정년 65세 판결 잇달아 30년 묵은 대법 60세 판례 바뀔까
7,수도권 도로 표지판 대형화 조명 개선으로 노인 운전 사고 줄여야
7,저출산 고령화 추세 뚜렷 10여 새 크게 변한 세대별 분포
7,삼성생명과 함께하는 라이프디자인  고령사회 진입한 한국 노후 불안감 줄이려면
7,노동가동연령 65세로 상향 조정 자동차보험 배상책임보험료 12 상승 요인
7,남에게 폐 끼치기전 죽는 방법 정도는 스스로 고를수 있어야
7,280조 쏟았지만 깊어진 수렁 저출산 해결에 걷은  정부
7,한국은 주택난인데 일본은 공짜 집 빈집 늘어 골치
8,정부 지역 의사 확충이 골자 의협 수도권 쏠림 못 막아
8,13년간 153 쓰고도 출산율 10명 붕괴 정부 15명 목표 포기
8,결혼 출산 청년 혜택 늘린다는데 4번째 인구정책tf 약발 먹힐까
8,돈으로 효도 순 없었다 자녀 법정 세우는 부모 급증
8,기고 국민건강보장 강화를 위한 보험 임플란트 현황과 확대 필요성
8,은평 세대결합형 일자리서 근무할 청년과 노인 공개 모집
8,앞으로 부모 다 휴직 시 3개월간 1500만원 받을
8,씨제이 대한통운 실버택배 누적 배송량 2천만 상자 돌파
8,70세 되면 의무적으로 세상을 뜨는 법 발효 이게
8,알바생이 치매노인 관리까지  편의점은 고령사회 비추는 등대
9,가까운 미래를 여는 사람들 장성오 복지유니온 대표 삼킴 어려움 영양불균형 노인에게 맞춤식품 필수
9,돈 없고 늙는 한국 유럽 pigs 닮는다 인구가 모든 것의 모든 것이다
9,뒷북 정책이 부른  인구 감소 g2 경쟁  추월 물거품되나 세계는 지금
9,지난해 서울 하루 출생 200명선 첫 붕괴 올해 고령사회 진입할 듯
9,7년 뒤엔 초고령사회 진입 고령자 돌볼 지역 간호사 육성 서둘러야
9,이정환 주택금융공사 사장 취약계층 주거 안정 위해 정책상품 공급에 힘쓸
9,예술로 치매 치료 한양대 명지병원 국내 첫 가이드북 출간
9,시사이슈 찬반토론 kdi도 가세한 노인 연령 높이기 이번엔 조정해야
9,청력 나빠지는데 보청기 착용은 미뤄 적기에 보청기 착용 필요
9,고령사회 본격 진입 2060년엔 국민 5명 중 2명이 노인
10,역사 속 숨은 경제이야기 우리나라가 급격한 고령화를 맞이한 이유는 무엇일까요
10,치매 간병의 비극 80대 노인 아내 살해 후 극단 선택
10,60세뒷방노인 이제 옛말 정년연장 신규채용 축소 부작용 김현주의 일상 톡톡
10,쉔픽스의료기 체험장 단순한 판매 장소 아니다 과학적 원리 이해하는 곳
10,최상태 50플러스코리안 연구소장 고령층 서비스 복지 아닌 산업 관점으로 봐야
10,출산절벽 탈출 역발상에 답 있다여성 탓 말고 패러다임 바꿔야
10,에듀윌 사회복지사 1급 교재 예스24 5월 3주차 베스트셀러 1위
10,정년 연장 불가피하다면 노동 경직성 완화책 마련해야 논설실 이슈태클
10,건국대라이프샐러드 시니어 맞춤 케어서비스 개발 공동 업무 협약
10,삶과 문화 노인만 있는 공간 노인도 있는 공간
11,최수문특파원의 차이나페이지  지나친 산아제한에 부유해지기 이미 늙어 최대의 적은  아닌 고령화
11,5070대 여성 83 골다공증 위험 알고 있지만 72는 검진 번도 해
11,이슈분석질병 진단에 활용 인공지능 의료기기 개발 열기 후끈 관련 규제는 미비
11,한양사이버대학교 28개 학과 1만 6870명 최대 규모 5개 대학원 석사과정 모집
11,김광석의 경제 읽어주는 남자 3대 인구구조 변화 막을 없다면 적응하라
11,한국 여성 고령화 위험 노출 여성 노후소득보장 방안 마련 절실
11,나이 아닌 일한대로 임금 받아야 노인 청년 일자리 공유 가능
11,생산 가능 인구 줄고 노인 증가 인구절벽 경제 재앙 초래
11,글로벌 insight김윤희 kotra 베이징무역관 차장중국 시니어 비즈니스에 주목하는 이유
11,인구 반토막 향하는  작년 48만명 증가 고령사회 첫 진입
12,책으로 읽는 경제  인구 절벽을 넘어 다시 성장하라 장수의 저주 막을 비법이
12,뭐 살까 쇼핑 고민 치매 예방에 도움 고령 소비자 챙겨야 하는 이유
12,고령장애인 증가 50세 188만명 358 자살충동 겪어 일반인의 10배 중장기대책 절실
12,일본 고령자 운전 사고 심각 30만 명 면허 자진 반납
12,문재인 케어 중 mri ct 초음파에 건보 적용 가장 긍정적
12,기고삶의 질 떨어뜨리는 만성 심부전 국가 차원 통합진료 시스템 절실
12,나의 노후도 부모의 노후도 내몫 화려한 싱글의 삶은 멈췄다
12,60세이상 고령 여성 체중 감소폭 클수록 치매 위험 높다
12,글로컬 라이프 시간을 칼같이 지키는 일본 버스는 자주 늦지
12,사설 나라 근간 흔들 고령사회 처방도 발상의 대전환을
13,senior citizen households triple 2047 amid rapidly aging society 한국 고령화 가속 30년 뒤 독거노인 3배로
13,한국도 내달 고령사회 진입 이심 대한노인회장 노인문제 넋 놓고 있다간 재앙 정책 컨트롤타워 설립을
13,라이프 트렌드 작은 병 관리부터 보장해 드려요 큰 병 걸리지 않게 대비하세요
13,여가부 대신 미래가족부 최악 선택 인구학자 조영태 혹평 신성식의 레츠 고 9988
13,좋은 일자리 고르는 일본 청년 알바도 못 구하는 한국 청년
13,mz 사이 입소문난 반지 매듭장인 할매들 세계 넘보다 비크닉
13,2018 국감 장정숙 5년간 2조 투입했는데노인 일자리는 단기 알바
13,사설 코페르니쿠스적 전환 없이는 저출산 해결 못 한다
13,레이더p 최연숙 의료진 헌신에 기댄 위기대응 더이상 안돼
13,청년 일자리 빼앗는 정년 연장 전문가들 분석도 분분
14,민관합동 규제혁신 tf 가동 기업 손톱 밑 가시 다 뽑는다 민생 물가 올인하는 기재부
14,2019 예산안일자리 창출에 슈퍼 예산급 23조5000억 편성민간 일자리 유도 공무원 3만6000명 증원
14,2020 보건복지 결산 아동 출산 정책 체감온도 낮아 고령화는 방향 바꿔
14,2년 뒤면 초고령사회 필요한 노인들 인력난 대안으로 인구쇼크 패러다임 전환이 답
14,15년간 225조 백약이 무효 난임 육아 직관적 지원 청년 일자리 만들라
14,출산 장려하는 미국 다급한 중국 손 놓고 적응하라는 한국 특파원 칼럼
14,시민마이크 일본 일정 금액 이상이면 신탁 의무화  후견인은 보호 역할만
14,시사이슈 찬반토론 현대차 노조의 정년 64세 요구 실현 가능한 상황인가
14,셋째 아이는 수능 가산점 주자  전인대 출산 장려책 건의에 시끌
14,일자리 발굴 교육 사후관리 어르신 취업 논스톱 지원하는 노원
15,군인과 난민 저항군 간 전쟁까지 멈추게 아이의 탄생 출산율 꼴찌 한국 출산장려보다 고령사회 적응으로 간다고
15,연공서열식 임금 줄여야 고령자 재취업 청년 고용 숨통 심층기획  고령사회 연령주의 극복이 답이다
15,신수지의 뉴스 저격 고령사회 진입 당시 국가채무 독일 19 스웨덴 28 한국 36
15,고령층 돈 쓰며 소비 부진 상쇄한 일본 한국 노인 쓸 돈 없어
15,김남중 논설위원이 간다 치매약 안쓴 환자 8년만에 90는 중증  투약하면
15,해외 건강증진 촉진제도 엿보기 운동으로 1인 연 110만원 의료비 줄어
15,서울 오세훈 무임수송 근본적 고민 필요책임 미루면 청년 부담 가중
15,노령사회 먼저 맞은 일본 후견신탁 도입 국가가 신탁사업 지휘하는 싱가포르
15,수혈 잘못 받으면 심각한 부작용 발생 철저한 환자혈액관리로 위험 줄여야
15,뉴스라이브 이틀째 천 명대 하루 사망 22명 최다거리두기 3단계 격상하나
16,폴인인사이트다보스 메모 스위스에서 기모노 걸친 아베 총리 이제 세계화는 일본이 이끈다 선포
16,앨런 와이즈먼 다양한 생명 복원된 dmz 인간 없는 세월이 만들어 낸 기적
16,틀딱이 노인 혐오 부추겨 연금 확충해 빈곤 줄이고 능력 위주 채용해야
16,정부 4년새 노인 진료비 10조원 넘게 불어나 민주당 국가 전략 필요
16,이동준의 일본은 지금 근로자가 대우받는 일본 저출산 인구감소가 나쁜 것만은 아냐
16,박영범의 이코노믹스 49세가 퇴출 1순위 근속연수 임금 뛰는 호봉제 탓
16,횡설e설 액티브 시니어의 상징 고령화 시대의 산물 성인용 기저귀 시대
16,2050년 인구 30가 노인 모두에 편리한 시설물 만들어야 연중기획인구절벽 뛰어넘자
16,노인 인프라 확보 땐 경제도 활성화 노인 친화적 환경 만들어야
16,경주 안동 밀양 거제 횡성 평창 등에 없는 것은 노인복지관
