Topic Number,제목
1,여기는 중국 시진핑 집권 8년만에 성과 중국에 절대적 빈곤은 없다
1,재난지원금 지급기준 결정 갈팡질팡 언제까지 난 늘 내기만 불만 증폭
1,기고 보다 공평한 세금을 통한 나은 세상의 실현  위니 비아니마
1,월드피플 30년 째 같은 옷입는 폐품팔이 할아버지 알고보니 기부왕
1,역경의 열매 최일도  개미군단 십시일반 무료병원 설립 기적
1,1인 노인가구 정부 의존 높아 빈곤노인 2배 급증
1,에볼라 시험약 허용 됐지만 환자 투약까진 난제 산적
1,은퇴 앞둔 50대 가처분 소득 급감10년 만에 최대폭
1,50대 가구 가처분 소득 금융위기 후 최대폭 감소
1,월드피플 설날 고향 어른들에게 세뱃돈 20억원 선물한 기업가
2,안철수 연이틀 박원순 저격 행보 재활용 센터 방문 쓰레기 대란 질타
2,유통업계 시니어 일자리 창출 활동 활발 esg 경영으로 확대 움직임
2,전문  대통령 남북 철도로 연결될 새로운 육상 해상 실크로드 완성
2,사설근로희망 고령층 1000만 명 임시직 땜질 처방만 하는 정부
2,50대 고령자 10명중 6명 독립적 경제력 노후 준비 안돼
2,김준경 원장 삼성 사장단 강연서 일본처럼 가면 미래 없다
2,이병태의 경제 돌직구 문재인 대통령님 정말 소주성 족보를 보셨나요
2,일자리 목표 20만 명으로 상향 최저임금 관련 자영업자께 죄송
2,수출 부진 혁신 실종 불평등 심화 재벌독점 해소에 답
2,청와대 52시간제 확대 보완책 계도 기간 처벌 유예 검토
3,연금 졸속개혁 논란 국민연금 어떻길래  가입자 노후 필요금액 45도 못 받아 빈곤 불가피
3,경제난 사회적 불만 끔찍한 묻지마 범죄 양산한다 김현주의 일상 톡톡
3,폐지 비싸게 삽니다 노인들이 주운 폐지를 6배 가격에 사는 이유
3,일하려는 사람 늘었나 봤더니 고령층 생활비 부족 청년층 여성 미혼
3,여든이 넘은 나이에도 생활비 위해 거리로 빈곤 고독사가 두려운 노인들
3,일본도 안전불감증 빈곤 노인 시설 화재 참변으로 11명 사망
3,노인 10명 중 1명 치매 2039년엔 치매환자 200만명 넘어
3,한국판 다니엘 블레이크 유족 국가배상 승소 근로능력평가 잘못해 숨져
3,멕시코 퍼스트 내건 좌파 대통령 당선 트럼프와 충돌 예고
3,1인 가구 절반은 빈곤 독거노인은 10명 중 7명 빈곤층
4,2018 청년 빈곤 리포트 월세 28만원짜리 16평 편히 수도 쉴 수도 없는 집
4,건보 가입자 db 분석해보니 기초연금 정부안 시행 땐 1인당 세금부담 28만원
4,영웅으로 불리며 영치금 쇄도하는 아베 살인범 근황 특파원 24시
4,1인 가구 맞벌이 역차별 1차때 형평성 논란 재연 불보듯
4,국민연금 수령자 400만명 돌파 노인 수령액 평균 31만원
4,일하는 노인 늘었지만 10명 중 6명 최저임금 못받아
4,90년대생들 이기적인 줄 알았다 나보다 외치는 청년 늘어
4,기초연금 후퇴 미래 세대 위한 선택이라지만 미래세대는 손해본다
4,명부작성 못하면 밥 못먹나요 또다른 차별 출입명부
4,노인빈곤 oecd 1위 통계기준 바꿔 낮추겠다는 정부
5,기재차관  노인 빈곤의 원인은 늦게 도입된 연금 탓 일자리 정책대응 불가피
5,아침 신문 보기 일하고 싶은 노인 절반 오늘도 생계 걱정
5,단독 자식들 짐은 안돼야죠 파산 택한 노인들 2년새 32 급증
5,민주노총 20일 조선산업과 울산 노동자 총파업 지지 연대 선언
5,그림자 노동 굴레 벗고 당당한 노동자로 첫발 딛는 가사노동자
5,윤수경 기자의 사람 사랑 평생 음악이 흐르는 삶
5,세금으로 만든 노인 일자리 68만개  27만원 용돈벌이만 수두룩
5,서울 동작 장년 시민 1000명의 인생 후반전을 지원합니다
5,전세계 3억2천만명 우울증 노인 여성 청소년 특히 취약
5,2017 imf한국 연례협의 수출 투자 늘어 한국 성장
6,집콕땐 우울해 지하철 무료 덕 여가 즐겨 노인 떳떳하게 대우 받으려면 일정 부담 필요
6,국민의 기업 재난 대처에 취약성 드러난 장애인  지금 공공의 힘이 필요할
6,한경연 최저임금 1만원으로 인상시 일자리 최대 51만개 경제성장률 148p 감소
6,김양균의 현장보고 결핵 못잡고 결핵에 잡히다니 직원 15 매년 감염
6,임지연의 내가갔다 하와이 은퇴 후 천국 하와이 현실은 자본주의 최전방
6,김현주의 일상 톡톡 정부 기울어진 운동장 바로잡는다 구체적 혁신안은 부족
6,김현주의 일상 톡톡 대기업 vs 중소기업 이중구조 불평등 야기한다
6,원희복의 인물탐구 연금행동 정용건 국민연금 위기는 재벌의 공포 마케팅
6,잦은 부스터샷 면역력 저하 가능성 독성 약하면 필요치 않아
6,518 단체들 전두환 60대로 보일 만큼 정정 즉각 구속해야
