Topic Number,제목
1,일자리 총력전1분기 공공무분 1만7000명 채용 로봇 12개 신산업 일자리 3만개 창출
1,라이프 50세대 일자리 창출 서울형 사업모델 만들자
1,신사업창업사관학교 4기 이성태 햇살디자이너 소진공 신사업창업사관학교 다녔다면 90센티블라인드는 세상에 없었을걸요
1,공공기관 시간제 일자리 첫해부터
1,창동역 인근에 일자리 거점 동북권 세대융합형 시설 첫삽
1,국민의 기업 산림은 훌륭한 일터  유아숲지도사 산림치유사 일자리 창출에 역량 결집
1,요즘 늘어나는 사장님창업으로 재취업
1,공공기관 재취업 연금수급자 747만원 넘으면 연금정지
1,소셜벤처의 명암  사회적 약자들 일자리 늘렸죠
1,숨은 일자리 찾기 광진구가 함께해요
2,재취업 속이고 실업급여 부당수령 무더기 적발
2,실업급여 부정수급 무더기 적발199명 39억8500만원 적발
2,서울노동청 실업급여 부정수급자 무더기 적발
2,울산경찰 실업급여 2억여원 부정수급 55명 적발
2,80대  가게 나오셔야할판 알바 줄이거나 문닫을수도
2,근로일 부풀려 실업급여 탄 일용직들
2,김기춘 농심 비상임 법률고문 맡는다
2,책속의 한줄개인의 질병에 사회가 갖는 책임은 어디까지
2,퇴직관료 무더기 무단 재취업 처벌은 고작
2,실업급여 부정수급 중대범죄 30는 형사처벌도
3,박광온 경단녀 재취업 지원법 발의  고용 보장해야
3,15년 경단녀 꼬리 떼고 재취업 멋진 엄마 돼야죠
3,단독 교수님께 1대밖에 맞았어요 병원 전공의 운수좋은날
3,단독고위법관 재취업 심사 눈가리고 아웅
3,경단녀 재취업 유도에 조건부 보조금 효과적
3,단독 이참에 전업주부 할까 1호 퇴직하면 2호는 영원히 못 나와
3,코딩 교육의 뜨거운 바람 분명한 목표가 가장 중요
3,사회초년생 47 3천만원 빚 경단녀 5년 쉬면 월급 반토막
3,전경련 중장년 재취업 눈높이 조정과 전문성이 중요전문기관 도움도 효과적
3,3d업종 외국인 숙련공 영구체류 가능해진다
4,중진공강원도 노사정 협력 일자리 안심공제 만든다
4,내년 정부 예산 386조 빠듯한 살림에도 청년 일자리 예산은 21 늘렸다
4,권 대리가 들려주는 서민금융  취업 문턱 낮춰주는 취업연계지원
4,경북도 신중년 일자리 2000개 만든다
4,내년 일자리 예산 14조2589억 배정
4,사설 재취업 비리 공정위의 쇄신 다짐 시늉에 그쳐선 안된다
4,중진공강원도 노사정 협력 일자리 안심공제 도입
4,은행 인사담당자들의 재취업 조언
4,교수지갑 채우고 유령사업에 퍼주고 밑빠진 독 일자리 예산
4,5060 일자리 노마드족이 온다
5,더오래 이정택의 당신도 ceo1 여름에만 반짝 호프집 치맥 펍으로 바꾸니 가족 손님 몰려와
5,취업준비생 54 공시족 9급 공무원시험 가장 많아
5,실업급여는 눈먼 돈부정수급액 역대 최대 전망
5,실업급여 상한액 내년부터 6만원 역대 가장 큰 폭 상승
5,금융위기후 일자리엔진 냉각 실업자 재취업 어려워졌다
5,욕실서 익사한 자산가 보험사 다녔던 백수 양아들의 수상한 행적
5,중장년층 453 재취업 하던일만 고집 안해
5,부하직원 상대 성범죄 땐 벌금형도 퇴출
5,중장년층 재취업 시장서도 문송합니다
5,영덕군 지역특화 여성아카데미 개강  꽃꽂이 파티셰지도사 운영
6,고객 컴퓨터에 랜섬웨어 심어 수리비 2억 꿀꺽
6,갈수록 힘들어지는 서민생활 대한재무관리 통한 햇살론 문의 쇄도
6,노동4법 홍보비로 62억9900만원 쓴 고용노동부
6,로레알 경력단절여성 재취업사업 수강생 모집
6,신한은행 사무인력 일부 정규직 전환키로
6,왜곡되는 고용시장 10년째 차장이라 행복해요승진이 두려운 중년 남성들
6,실업급여 부정 갈수록 눈덩이 브로커까지 활개
6,일하기좋은 기업주부 직업훈련생 선발교육해 포항 광양 제철소 정규직 채용
6,국민의힘 실업급여 손본다 저임금 노동자에 고통 전가
6,중년 재취업 이력서 길게 쓰면 안좋아요
7,김고은 여성의 날 화보 보니 매혹적인 슈트 자태
7,질 나쁜 일자리 고용만 늘고 생산성은 낮아졌다
7,스타벅스코리아 100번째 리턴맘 바리스타 탄생
7,고용노동부대기업 17곳 취약층 일자리 창출 맞손
7,서울시50재단고양상공회의소 일자리 창출 맞손
7,하나금융그룹 소셜벤처 유니버시티로 청년 일자리 창출 기여
7,광진구 코오롱인더스트리 일자리 창출 위해 손잡아
7,퇴직 후 1인 창업 선택하는 중장년층 소자본 프랜차이즈 창업 쿡플 인기
7,삼성 노조는 악성 바이러스 군사작전식 파괴 나섰다
7,말이 세상을 바꿉니다독자들과 세상을 바꿉니다
8,임신만으로도 육아휴직 가능 남편 출산휴가 10일로
8,맞벌이 신혼부부 4쌍중 1쌍 2년내 외벌이로
8,30대도 60대도 일자리 있겠나  지레 취업 포기한 청장년
8,임신중 육아휴직 가능 남편도 육아휴직 3회 나눠쓴다
8,제대군인 주간 맞아 제대군인 취창업 한마당 열려
8,임신기 육아휴직 가능 남편 출산휴가 10일로
8,공정위 퇴직 선배와 e메일도 보고하라
8,2급 고위공직자 재취업 까다로워진다
8,퇴직 후에도 공정위 들락날락
8,대형재난 땐 총리가 컨트롤 안전처에 징계 요구권
9,대법 경쟁업체 이직하면 명예퇴직금 줘도 된다
9,간추린 뉴스 오늘부터 이틀간 서별관회의 청문회
9,고용보험료 올려서 실업급여 준다 보험료 1317로 오를듯
9,재취업 안시켜줘 화나 망치로 업주차 부순 50대 검거
9,뉴스 더하기 실업급여 깐깐해진다
9,뉴스해설 실업급여 급증 원인은
9,경쟁업체 재취업 명퇴금 반환 제한해야
9,e글중심 코로나 실직 브이로그 등장  게 콘텐츠가 되는 세상이 씁쓸
9,10일부터 예술인도 실업급여 대상자 된다
9,월급보다 받는 실업급여 손본다
10,구로구 중장년 재취업 지원 재도약 프로그램 마련
10,홍용표 통일부 장관 개성공단 기업 퇴사자들 계속 지원해 나갈
10,구로구 중장년 재취업 지원 프로그램 마련
10,무역 중장년 재취업 지원제도 호평
10,시론 상시적 산업 구조조정 필요하다
10,kdb산업은행 퇴직자 66 주거래 기업 고위직으로 재취업
10,클릭 자치뉴스 성동구 경력보유여성 원스톱 취창업 지원
10,수도권금융정보통신 퇴직자  재취업 교육
10,조선3사 특별고용업종 지정 이기권 장관 고용 유지 목표종합
10,산업은행 퇴직자 최근 5년 38명 기업 재취업
11,갈 길 먼 공익제보 공익제보 활성화 대안은
11,스타벅스 여성가족부와 리턴맘 선택제 채용 mou 체결
11,경남 창원시에 조선업희망센터 문 열어
11,사진시간선택제 일자리 박람회 개최
11,초단시간 근로자 119만 명권리 찾기 먼 길
11,강동구 강동여성인력개발센터 문 열어
11,전주대 평생교육 활성화 mou 체결
11,경남 고용위기산업 채용 박람회
11,경남 28일 고용위기산업 채용 박람회
11,대한민국 고용친화 모범경영대상국민건강보험공단 세대 간 상생고용 촉진 일자리 창출 잰걸음
12,김동호의 반퇴의 정석 23 재취업 프로젝트 과거는 잊고 오래 다닐 곳 찾아라
12,일자리 전쟁경단녀 돌아갈 곳은 임시직 계약직 뿐
12,사설5년 안에 일자리 23 바뀐다 ai발 고용태풍 대책 세워야
12,경단녀 지원 늘고 지역사회 초등 돌봄 전국으로 확산된다
12,김기춘 농심으로 컴백 비상임 법률고문 맡아
12,재취업은 하늘의 별 따기 퇴사한지 1년 넘은 실업자 사상최고
12,재취업 파격 실험 은행지점장들의 화려한 복귀
12,독자 목소리 남양주 고용복지종합센터의 실험 주목된다
12,돌봄 서비스도 대기관리시스템 마련
12,조기은퇴자 재취업 프로젝트
13,이동준의 일본은 지금 무기계약직 앞두고 해고 계약직은 쓰다 버리는 건가요
13,성범죄자들 어린이집 취업 막아야 vs 경미한 범죄까지 취업제한은 과해
13,쉬운 해고 피바람 그후 금방 재취업 테크 노동자
13,이동준의 일본은 지금 청년들 지금 근로여건으론 미래가 없다
13,살충제 계란 파동대한민국 덮친 케미포비아 친환경도 못 믿겠다
13,원전마피아 재취업 못한다 시험성적서 12만건 전수조사
13,사진복직 요구하며 양화대교 철탑 오른 해고 노동자
13,코로나  82년생 김지영들 재취업 어려워졌다
13,사진복직 촉구하며 양화대교 오른 해고 노동자
13,사진복직 촉구하며 양화대교 철탑 오른 해고 노동자
14,5만명 실직대란 눈앞 정부 이달중 특별고용지원업종 지정
14,예술인도 실업급여 고용보험법 개정안 국회 통과
14,유통 세 키워놓고 재입사 워킹맘에 신의 직장 스타벅스
14,정부 실업급여 삭감 개정안 입법예고
14,조선업 특별고용지원업종 이달 지정
14,조선업 특별고용지원업종 지정
14,정부 조선업 특별고용지원업종으로 지정
14,정부 조선업 특별고용지원업종 지정키로
14,조선업 특별고용지원업종 지정 6개월 연장된다
14,조선업 특별고용지원업종 지정 연장되나
15,카카오 모바일 뱅커 모집에 1200명 몰렸다는데
15,한국 여성 고용률 oecd 평균에도 못 미쳐경단녀 재취업 어려운 구조
15,동료 재취업 걱정하던 끝에 5세 외동딸 둔 용접사의 안타까운 죽음
15,초고령사회 대비 65세 이후 취업자도 실업급여 추진
