links,title,contents,date,press
https://www.hani.co.kr/arti/economy/economy_general/936159.html,"팀장은 지도 세대, 막내는 내비게이션 세대…직장내 세대갈등 ...",직장내 세대갈등 보고서. 송채경화 기자. 구독. 등록 2020-04-08 16:29,2020. 4. 8.,한겨레
https://www.donga.com/news/Economy/article/all/20200408/100550393/1,"막내 칼퇴에 팀장이 불편한 이유…상의, ‘직장 내 세대갈등 실태 보고서’ 발간","대한상의, 직장 내 세대갈등으로 본 기업문화 진단 직장인 64% ""세대차이 느껴""…인식차이로 이어져 ""갈등은 안변하는 기업문화 
때문…'프로팀' 돼야"".",2020. 4. 8.,동아일보
https://www.yna.co.kr/view/AKR20200407134500003,"""막내가 칼퇴?"" 직장인 세대차이, 윗세대가 더 많이 느낀다","윗세대로 갈수록 세대 차이 체감도는 높아졌다. 대한상공회의소는 8일 30개 대·중견기업 직장인 약 1만3천명에 대한 실태조사를 기초로 
세대별 심층 면접...",2020. 4. 8.,연합뉴스
https://www.ntoday.co.kr/news/articleView.html?idxno=97511,[청플 Report] 잘못된 MZ 프레이밍이 낳은 세대 갈등,"[청플 Report] 잘못된 MZ 프레이밍이 낳은 세대 갈등 ... 지난 4월 6일 투데이신문과 청년플러스포럼은 'ESG 관점의 
MZ세대 뉴노멀 소통'을 주제로 제3회 청년플러스...",2023. 5. 15.,투데이신문
https://www.yna.co.kr/view/MYH20221009008200641,"""언어 세대교체""…소통단절·세대갈등 핵심","실제로 '심심한 사과' 논란은 소통 단절과 세대 갈등의 싹이 되기도 했습니다. 단어를 잘못 이해해놓고선 오히려 당사자를 질책하거나, 
한자를 모른다며 무식하다고 상대를...",2022. 10. 9.,연합뉴스
https://www.m-i.kr/news/articleView.html?idxno=928403,[기고] 세대갈등 이제 그만…서로 다름을 이해하고 존중하자,"기성세대와 소위 말하는 신세대의 갈등은 현시대에만 있었던 문제는 아니다. 기원전 1700년 수메르 점토판에도 '요즘 젊은이들 너무 
버릇이 없다'라는 문구가 적혀 있다고...",2022. 6. 22.,매일일보
https://www.ntoday.co.kr/news/articleView.html?idxno=97501,[청플 Report] MZ는 왜 그러냐고요?…청년 직장인이 말하는 MZ세대와 직장 내 세대 갈등,"직장 내에 세대 갈등이 존재한다면 그 사실을 가장 크게 느끼고 있을 사회 초년생에 해당하는 20대를 인터뷰 대상으로 선정하려고 
노력했다. 또 세대 갈등과 MZ세대...",2023. 5. 12.,투데이신문
http://www.todayenergy.kr/news/articleView.html?idxno=236095,"SK이노베이션, 직장 내 세대 갈등 해결책 마련","그동안 직장 내 세대간 갈등은 서적, 강연 등을 통해 수 차례 문제 제기돼 왔으나 기업차원 현장에서 문제 해결을 위해 직접 나선 것은 
SK이노베이션이 처음이다. SK...",2021. 5. 9.,투데이에너지
https://www.brandbrief.co.kr/news/articleView.html?idxno=5446,"코바코, ABC송으로 '세대 갈등 해소' 노력 나서","한국방송광고진흥공사(코바코)는 26일부터 한 달 간 공익광고 '세대 갈등 해소'편을 선보인다고 이 날 밝혔다. 코바코에 따르면 
'세대갈등 해소' 편은 ""세대가 성향을...",2022. 8. 26.,브랜드브리프
http://www.newstnt.com/news/articleView.html?idxno=230170,[김강중 칼럼] 세대 차이와 세대 갈등 ​​​​​​​,"요즘은 세대 차이를 종종 느낀다. 퇴근 길 술집에서도 목불견을 목도한다. 친구와 세대 문제를 논하다 보면 그도 동감한다. 나만의 편견은 
아니었구나하는 생각...",2022. 10. 10.,뉴스티앤티
