iter	RMSE
0	16.4215685
1	15.73871416
2	15.24173708
3	14.76990822
4	14.40849799
5	14.08176404
6	13.84316569
7	13.38338836
8	13.22652638
9	12.84896993
10	12.63030593
11	12.36953199
12	12.34296243
13	12.18006069
14	11.96497402
15	11.6513972
16	11.55638394
17	11.29869865
18	11.08671292
19	10.85977983
20	10.62192959
21	10.30225982
22	10.1306972
23	9.97592238
24	9.744686209
25	9.60173724
26	9.522849686
27	9.348225356
28	9.138124798
29	8.888073058
30	8.680672965
31	8.633635459
32	8.565807105
33	8.359130249
34	8.267985738
35	8.094979521
36	7.847932792
37	7.758935297
38	7.622431358
39	7.477407941
40	7.415205796
41	7.32990302
42	7.180791848
43	7.101835764
44	7.013389858
45	6.798852696
46	6.654663891
47	6.52875155
48	6.419808147
49	6.362769363
50	6.225997471
51	6.157469895
52	6.045673834
53	5.908864448
54	5.852295232
55	5.779795387
56	5.743292495
57	5.565916781
58	5.470560499
59	5.440560094
60	5.394352775
61	5.33797506
62	5.222130415
63	5.141334095
64	5.054927541
65	5.041204394
66	5.000959149
67	4.990903677
68	4.902774433
69	4.852844197
70	4.748250408
71	4.680955295
72	4.605698635
73	4.505879936
74	4.460118349
75	4.4376983
76	4.395808344
77	4.375306288
78	4.33554479
79	4.273865737
80	4.243404786
81	4.139184397
82	4.123107984
83	4.107762622
84	4.087943092
85	3.99463712
86	3.980331882
87	3.963060783
88	3.932216236
89	3.918751647
90	3.842134995
91	3.773565532
92	3.724888204
93	3.692940871
94	3.683903535
95	3.64272615
96	3.6329721
97	3.607906418
98	3.585536266
99	3.547063844
