iter	Passed	Remaining
0	139	13773
1	139	6837
2	139	4523
3	140	3366
4	140	2672
5	140	2207
6	141	1876
7	141	1627
8	141	1434
9	142	1280
10	142	1153
11	142	1047
12	142	956
13	143	879
14	143	814
15	144	756
16	144	705
17	144	658
18	144	617
19	145	580
20	145	546
21	145	516
22	145	488
23	146	462
24	146	439
25	146	417
26	146	396
27	147	378
28	147	360
29	147	344
30	147	328
31	148	314
32	148	301
33	148	288
34	148	276
35	148	264
36	149	254
37	149	243
38	149	234
39	149	224
40	150	216
41	150	207
42	150	199
43	151	192
44	151	185
45	151	178
46	152	171
47	152	165
48	152	158
49	152	152
50	153	147
51	153	141
52	153	136
53	153	131
54	154	126
55	154	121
56	154	116
57	154	112
58	155	107
59	155	103
60	155	99
61	155	95
62	155	91
63	156	87
64	156	84
65	156	80
66	156	77
67	157	73
68	157	70
69	157	67
70	158	64
71	158	61
72	158	58
73	159	55
74	159	53
75	159	50
76	159	47
77	160	45
78	160	42
79	160	40
80	160	37
81	161	35
82	161	33
83	161	30
84	161	28
85	161	26
86	162	24
87	162	22
88	162	20
89	162	18
90	163	16
91	163	14
92	163	12
93	163	10
94	164	8
95	164	6
96	164	5
97	165	3
98	165	1
99	165	0
