링크,제목,본문요약,날짜,신문사,카테고리
http://www.whosaeng.com/146676,"[후생신보] “노인 삶의 질, 독립적 일상생활 중요” 연구결과","【후생신보】 65세 이상 노인의 삶의 질을 결정하는 요인으로 일상활동에서 원활한 독립적 수행, 스스로가 느끼는 주관적 건강상태가 가장 
중요하다는...",10 hours ago,후생신보,학회/학술
https://www.seoul.co.kr/news/newsView.php?id=20230911500023,"문화콘텐츠 전문기업, 노인 위한 스마트폰 앱 개발 나선 까닭은","달작 “스마트폰 통합 서비스 앱으로 인구 고령화 문제 해결에 이바지하고파” 한국은 2025년 인구의 20% 이상을 65세 이상 고령자가 
차지하는 '초고령...",11 hours ago,서울신문,없음
https://m.health.chosun.com/svc/news_view.html?contid=2023091101817,"노년기 삶의 질 '이것'에 달렸다… 4300명 조사, 가장 중요한 요인은?","원활한 독립적 수행, 스스로 느끼는 주관적 건강상태가 65세 이상 노인의 삶의 질을 결정하는 주요 요인으로...",2 hours ago,헬스조선,없음
https://news.kbs.co.kr/news/view.do?ncd=7770656,정부 긴축재정 여파…“노인 돌봄 공백 우려”,[앵커] 정부의 긴축 재정에 따른 지역 여파를 들여다 봅니다. 고령화 속 노인 돌봄은 그 어느 때 보다 중요...,1 hour ago,KBS 뉴스,없음
http://mediagunpo.co.kr/16816,[군포시민신문] [정홍상 칼럼] 노인에게 적정 수치는?,"노인은 만성질환이 많습니다. 당뇨, 고혈압, 고지혈증, 관절염 등등. 그런데 노인인 경우 수치에만 얽매일 필요가 있을까요? 수치만이 
아니라 여러...",11 hours ago,군포시민신문,칼럼·오피니언
https://m.kmib.co.kr/view.asp?arcid=0924320293&code=14130000&sid1=lif,386세대 노인이 온다… 돌봄 패러다임 바꿀 때,"지금까지의 노인이 1950년대생까지였다면 이제부터의 노인은 '386세대'다. 이들을 70년대생들이 뒤따라간다. 이 새로운 노인 집단은 
지금까지의 노인...",2 hours ago,국민일보,생활
https://www.yna.co.kr/view/AKR20230911074900530,"""일상생활 독립적 수행 여부, 노인 삶의 질에 가장 큰 영향""","(서울=연합뉴스) 오진송 기자 = 일상생활을 독립적으로 수행할 수 있는지가 노인의 삶의 질을 결정하는 가장 중요한 요소라는 연구 결과가 
나왔다.",7 hours ago,연합뉴스,사회
https://www.mk.co.kr/news/journalist/10827173,[기자24시] '노인 정치인을 위한 나라'는 없다?,"'노년(老年)은 하루가 저물수록 불타고 고함을 질러야 한다. 꺼져가는 빛에 분노하고, 또 분노하라.' 영국의 유명 시인 딜런 토머스의 
시다.",2 hours ago,매일경제,journalist
https://kormedi.com/1620743/%EB%82%B4-%ED%9E%98%EC%9C%BC%EB%A1%9C%EB%85%B8%EB%85%84%EA%B8%B0-%ED%96%89%EB%B3%B5%ED%95%98%EA%B2%8C-%EB%A7%8C%EB%93%9C%EB%8A%94-%EB%A7%90-1%EC%9C%84/,'내 힘으로'…노년기 행복하게 만드는 말 1위,"일상생활에서 '스스로 활동할 수 있는 것'이 노년기 삶의 질을 높이는 가장 중요한 요인이라는 연구 결과가 나왔다. 혼자 힘으로 일상의 
작업을 해낼...",5 hours ago,코메디닷컴,없음
https://www.nongmin.com/article/20230911500319,"울산 농소농협 따사모봉사단, 노인지원서비스센터에 쌀 기탁","울산 농소농협(조합장 정성락, 사진 뒷줄 왼쪽 네번째) 따사모봉사단(단장 김분희)이 11일 북구 재가노인지원서비스센터에 10㎏ 들이 쌀 
50포대를...",6 hours ago,농민신문,없음
